volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,color
0.405,0.6365,1.654,0.0992,5.656,42.1665,0.998,3.5585,0.665,10.415,red
0.405,0.6365,1.654,0.0992,5.656,42.1665,0.998,3.5585,0.665,10.415,red
0.805,0.0268,1.654,0.0992,15.4,27.7,0.9965,3.5155,0.5465,10.645,red
0.755,0.1385,1.654,0.0792,15.4,85.5665,0.9965,3.3865,0.5465,10.185,red
0.605,0.1935,1.654,0.0792,25.0,114.5,0.9965,3.1715,1.1395,9.035,red
0.455,0.1935,1.654,0.0591,5.656,13.0165,0.9965,3.4295,0.5465,9.265,red
0.405,0.6915,1.654,0.4605,25.0,71.1,0.9965,3.1285,1.2585,9.495,red
0.505,0.4705,1.654,0.0792,25.0,71.1,0.9965,3.3435,0.5465,9.035,red
0.655,0.249,1.654,0.4,15.4,56.6335,0.9965,3.1715,1.1395,9.495,red
0.305,0.4705,1.654,0.0591,15.4,56.6335,0.9965,3.4295,0.7835,10.185,red
0.555,0.1385,1.654,0.0792,15.4,42.1665,0.9965,3.4295,0.6055,10.185,red
0.505,0.3045,1.654,0.119,15.4,128.9665,0.9965,2.9135,1.9705,9.955,red
0.505,0.249,1.654,0.0591,5.656,27.7,0.9965,3.3865,0.665,9.495,red
0.405,0.415,1.654,0.0992,34.6,128.9665,0.998,3.1285,1.199,9.495,red
0.605,0.0832,1.654,0.0792,5.656,27.7,0.998,3.4725,0.5465,9.035,red
0.505,0.249,1.654,0.0792,44.2,143.4335,0.9965,3.2145,0.5465,9.495,red
0.505,0.3045,1.654,0.119,15.4,128.9665,0.9965,2.9135,1.9705,9.955,red
0.505,0.3045,1.654,0.119,15.4,128.9665,0.9965,2.9135,1.9705,9.725,red
0.505,0.249,1.654,0.0591,5.656,27.7,0.9965,3.3865,0.665,9.495,red
1.005,0.0268,1.654,0.0391,44.2,85.5665,0.993,3.7305,0.487,10.415,red
0.605,0.1935,1.654,0.0591,15.4,100.0335,0.993,3.8595,0.6055,12.945,red
0.755,0.0268,3.86,0.0992,5.656,27.7,0.9965,3.4295,0.5465,10.645,red
0.505,0.249,1.654,0.0792,5.656,27.7,0.9965,3.2575,0.6055,9.265,red
0.905,0.0832,1.654,0.0792,5.656,13.0165,0.9965,3.3865,0.5465,9.725,red
0.555,0.1935,1.654,0.0792,15.4,42.1665,0.9965,3.3005,0.6055,9.035,red
0.605,0.3045,1.654,0.0792,15.4,56.6335,0.9965,3.3865,0.6055,10.185,red
0.505,0.3045,1.654,0.0792,5.656,27.7,0.9965,3.3005,0.5465,10.415,red
0.555,0.1935,1.654,0.0792,15.4,42.1665,0.9965,3.3005,0.6055,9.035,red
0.555,0.1935,1.654,0.0792,15.4,71.1,0.9965,3.3005,0.487,9.265,red
0.505,0.249,1.654,0.0792,5.656,42.1665,0.9965,3.3435,0.487,9.495,red
0.555,0.1935,1.654,0.0792,15.4,71.1,0.9965,3.3005,0.487,9.265,red
0.405,0.6915,1.654,0.4605,15.4,71.1,0.9965,3.0855,1.3175,9.265,red
0.605,0.3045,1.654,0.0792,15.4,71.1,0.9965,3.4725,0.7835,9.265,red
0.305,0.5255,1.654,0.0992,15.4,85.5665,0.998,3.3865,0.7835,9.495,red
0.805,0.5255,1.654,0.119,34.6,157.9,0.9965,3.2145,0.665,9.265,red
0.555,0.1935,1.654,0.0992,15.4,42.1665,0.9965,3.1715,0.9025,9.495,red
0.605,0.0832,1.654,0.0792,15.4,114.5,0.9965,3.1285,0.665,9.725,red
0.605,0.0832,1.654,0.0792,15.4,114.5,0.9965,3.1285,0.665,9.725,red
0.305,0.415,1.654,0.0792,25.0,42.1665,0.998,3.3005,0.665,9.725,red
0.555,0.1935,1.654,0.0992,15.4,42.1665,0.9965,3.1715,0.9025,9.495,red
0.405,0.3045,1.654,0.0992,15.4,56.6335,0.9965,3.0855,0.6055,10.415,red
0.555,0.3045,1.654,0.0792,15.4,42.1665,0.998,3.3865,0.6055,9.955,red
0.555,0.1385,1.654,0.0792,5.656,27.7,0.9965,3.3865,0.487,9.495,red
0.555,0.0268,1.654,0.119,15.4,56.6335,0.9965,3.2145,0.6055,10.875,red
0.705,0.0832,1.654,0.0992,25.0,85.5665,0.9965,3.3435,0.5465,9.265,red
1.055,0.0832,1.654,0.18,5.656,85.5665,0.9965,3.3005,0.5465,9.035,red
0.555,0.0268,1.654,0.119,15.4,56.6335,0.9965,3.2145,0.6055,10.875,red
0.705,0.0268,1.654,0.0792,5.656,13.0165,0.998,3.4725,0.5465,9.265,red
0.705,0.0268,1.654,0.0792,15.4,27.7,0.998,3.4295,0.5465,9.495,red
0.505,0.1935,1.654,0.0792,25.0,100.0335,0.9965,3.3865,0.487,9.495,red
0.605,0.0268,1.654,0.139,25.0,85.5665,0.998,3.1715,0.7245,9.495,red
1.305,0.0268,1.654,0.0792,5.656,13.0165,0.9965,3.5155,0.487,10.875,red
1.305,0.0268,1.654,0.0792,5.656,13.0165,0.9965,3.5585,0.487,10.875,red
0.605,0.1385,1.654,0.0591,5.656,13.0165,0.9965,3.4295,0.9025,10.415,red
0.355,0.1385,1.654,0.0792,5.656,13.0165,0.995,3.4295,0.5465,9.495,red
0.755,0.581,1.654,0.119,34.6,128.9665,0.9965,3.2575,0.665,9.495,red
0.505,0.0832,1.654,0.0391,15.4,100.0335,0.993,3.6445,0.6055,12.945,red
0.505,0.0832,1.654,0.0391,15.4,100.0335,0.993,3.6445,0.6055,12.945,red
0.505,0.0268,1.654,0.0591,15.4,27.7,0.995,3.3865,0.6055,9.725,red
1.055,0.0268,1.654,0.0792,15.4,27.7,0.9965,3.2145,0.5465,9.955,red
0.755,0.0832,1.654,0.0992,15.4,56.6335,0.9965,3.1715,0.843,9.495,red
0.705,0.1385,1.654,0.0792,5.656,56.6335,0.9965,3.2145,0.7835,9.495,red
0.405,0.3595,1.654,0.0792,15.4,42.1665,0.9965,3.4725,0.665,9.265,red
0.555,0.1935,1.654,0.0792,15.4,100.0335,0.9965,3.3435,0.5465,9.495,red
0.555,0.1935,1.654,0.0792,15.4,114.5,0.9965,3.3005,0.5465,9.495,red
0.755,0.0832,1.654,0.0992,15.4,56.6335,0.9965,3.1715,0.843,9.495,red
0.705,0.1385,1.654,0.0792,5.656,56.6335,0.9965,3.2145,0.7835,9.495,red
0.355,0.0268,1.654,0.0591,25.0,56.6335,0.9915,3.6875,0.7835,14.095,red
0.405,0.0832,1.654,0.0591,5.656,13.0165,0.995,3.3435,0.6055,9.495,red
0.355,0.0268,1.654,0.0591,25.0,56.6335,0.9915,3.6875,0.7835,14.095,red
0.655,0.5255,1.654,0.119,34.6,143.4335,0.9965,3.1715,0.6055,9.495,red
0.655,0.0268,1.654,0.0792,25.0,100.0335,0.995,3.5585,0.5465,9.955,red
0.505,0.249,1.654,0.24,5.656,85.5665,0.9965,3.1285,0.7835,9.265,red
0.505,0.0832,1.654,0.0792,15.4,27.7,0.9965,3.4295,0.6055,10.185,red
0.405,0.415,3.86,0.0792,15.4,42.1665,0.998,3.5155,0.6055,10.415,red
0.305,0.4705,1.654,0.0792,5.656,13.0165,0.9965,3.3435,0.5465,10.185,red
0.505,1.0235,3.86,0.601,34.6,71.1,1.0,2.741,1.9705,9.495,red
0.605,0.0268,1.654,0.0992,25.0,100.0335,0.995,3.3435,0.5465,10.185,red
0.605,0.0268,1.654,0.0992,25.0,100.0335,0.995,3.3435,0.5465,10.185,red
0.405,0.415,6.0335,0.0792,25.0,128.9665,0.9965,3.4295,0.7245,10.415,red
0.405,0.415,6.0335,0.0792,25.0,128.9665,0.9965,3.4295,0.7245,10.415,red
0.405,0.415,6.0335,0.0792,25.0,128.9665,0.9965,3.4295,0.7245,10.415,red
0.405,0.415,6.0335,0.0792,25.0,128.9665,0.9965,3.4295,0.7245,10.415,red
0.655,0.0268,1.654,0.0792,15.4,27.7,0.9965,3.4725,0.487,9.265,red
0.605,0.1935,1.654,0.0792,15.4,85.5665,0.9965,3.6015,0.5465,9.265,red
0.955,0.0268,1.654,0.0992,5.656,13.0165,0.9965,3.2145,0.5465,9.495,red
0.655,0.0268,1.654,0.0792,5.656,13.0165,0.9965,3.1715,1.0805,9.265,red
0.505,0.0268,1.654,0.0792,15.4,27.7,0.9965,3.3435,0.5465,9.955,red
0.605,0.249,8.2065,0.0792,34.6,114.5,0.998,3.3865,0.487,9.495,red
0.605,0.249,8.2065,0.0792,34.6,114.5,0.998,3.3865,0.487,9.495,red
0.605,0.4705,1.654,0.0992,15.4,100.0335,0.9965,3.1715,0.6055,9.495,red
0.655,0.0832,1.654,0.0792,15.4,100.0335,0.995,3.3435,0.5465,10.185,red
0.555,0.0268,1.654,0.0792,15.4,42.1665,0.995,3.3865,0.487,9.035,red
0.605,0.0832,1.654,0.0792,15.4,42.1665,0.995,3.4725,0.5465,10.415,red
0.705,0.249,1.654,0.36,15.4,56.6335,0.9965,2.9995,1.6145,9.495,red
0.905,0.0268,1.654,0.0591,5.656,13.0165,0.9965,3.3435,0.309,9.035,red
0.405,0.1935,1.654,0.0792,5.656,13.0165,0.9965,3.3005,0.6055,9.265,red
0.405,0.1935,1.654,0.0792,5.656,13.0165,0.9965,3.3005,0.6055,9.265,red
0.605,0.0268,1.654,0.0591,25.0,42.1665,0.9965,3.4295,0.5465,11.565,red
0.355,0.1935,1.654,0.0792,5.656,42.1665,0.9965,3.3435,0.487,9.495,red
0.505,0.0268,1.654,0.0792,15.4,42.1665,0.9965,3.3435,0.7835,9.495,red
0.355,0.1935,1.654,0.0792,5.656,42.1665,0.9965,3.3435,0.487,9.495,red
0.505,0.415,1.654,0.0792,5.656,42.1665,0.9965,3.5585,0.6055,10.415,red
0.805,0.0268,1.654,0.0591,5.656,13.0165,0.9965,3.4725,0.5465,9.495,red
0.605,0.1385,1.654,0.0591,5.656,42.1665,0.9965,3.1715,0.6055,9.495,red
0.605,0.1385,1.654,0.0591,5.656,42.1665,0.9965,3.1715,0.6055,9.495,red
0.605,0.4705,1.654,0.28,25.0,114.5,0.9965,3.1285,1.021,9.265,red
0.705,0.0268,1.654,0.0792,15.4,42.1665,0.9965,3.4295,0.5465,9.265,red
0.605,0.1935,1.654,0.0792,15.4,71.1,0.9965,3.5585,0.6055,9.265,red
0.605,0.1935,1.654,0.0792,5.656,56.6335,0.9965,3.5155,0.6055,9.265,red
0.305,0.581,1.654,0.119,25.0,85.5665,0.9965,3.2575,0.5465,9.725,red
0.405,0.4705,1.654,0.0792,15.4,71.1,0.9965,3.3435,0.5465,9.265,red
0.705,0.0832,1.654,0.0792,5.656,27.7,0.998,3.3865,0.487,9.725,red
0.505,0.3045,1.654,0.0792,15.4,143.4335,0.9965,3.2145,0.5465,9.495,red
0.505,0.3045,1.654,0.0792,15.4,143.4335,0.9965,3.2145,0.5465,9.495,red
0.505,0.3595,3.86,0.0792,25.0,128.9665,0.998,3.2145,0.6055,9.495,red
0.355,0.249,1.654,0.0792,25.0,42.1665,0.9965,3.5585,0.6055,9.725,red
0.605,0.1385,3.86,0.0992,15.4,128.9665,0.9965,3.3005,0.6055,9.495,red
0.555,0.1935,1.654,0.0792,5.656,27.7,0.9965,3.3005,0.5465,9.725,red
0.555,0.1935,1.654,0.0792,5.656,27.7,0.9965,3.3005,0.5465,9.725,red
0.605,0.3045,1.654,0.0792,25.0,114.5,0.9965,3.2575,0.5465,9.495,red
0.555,0.3045,1.654,0.0792,15.4,56.6335,0.9965,3.4725,0.6055,10.185,red
0.305,0.581,1.654,0.0591,15.4,27.7,0.998,3.1285,0.9615,10.185,red
0.855,0.0832,1.654,0.0391,15.4,100.0335,0.993,3.5585,0.843,12.945,red
1.105,0.0832,1.654,0.0591,15.4,27.7,0.995,3.5155,0.4275,11.335,red
0.305,0.4705,1.654,0.0591,5.656,27.7,0.9965,3.2145,0.843,10.185,red
0.355,0.4705,1.654,0.0992,34.6,143.4335,0.998,3.0425,1.021,9.265,red
0.505,0.0832,1.654,0.0792,15.4,42.1665,0.995,3.3435,0.7835,9.495,red
0.405,0.3595,1.654,0.0792,15.4,42.1665,0.9965,3.3435,0.5465,9.265,red
0.405,0.3595,1.654,0.0792,15.4,42.1665,0.9965,3.3435,0.5465,9.265,red
0.305,0.747,1.654,0.0992,5.656,27.7,1.0,3.2145,0.7835,10.875,red
0.305,0.747,1.654,0.0992,5.656,27.7,1.0,3.2145,0.7835,10.875,red
0.555,0.3045,1.654,0.0591,25.0,114.5,0.9965,3.3005,0.5465,9.265,red
0.455,0.3045,1.654,0.0992,15.4,100.0335,0.9965,3.2145,0.665,9.495,red
0.305,0.581,1.654,0.0591,5.656,13.0165,0.998,3.3005,0.9025,10.415,red
0.505,0.581,1.654,0.0391,5.656,13.0165,0.9965,3.3005,0.843,12.485,red
0.705,0.249,3.86,0.0792,5.656,56.6335,0.9965,3.3435,0.5465,9.955,red
0.455,0.6365,1.654,0.0591,5.656,13.0165,0.998,3.2145,0.665,10.185,red
0.555,0.249,1.654,0.0591,25.0,71.1,0.9965,3.3005,0.4275,10.185,red
0.755,0.0832,1.654,0.0992,5.656,42.1665,0.9965,3.2575,0.7245,9.725,red
0.505,0.4705,6.0335,0.0591,25.0,114.5,0.9965,3.3435,0.7835,10.415,red
0.605,0.1385,1.654,0.0992,15.4,42.1665,0.9965,3.1285,0.5465,11.105,red
0.705,0.1935,1.654,0.0792,15.4,42.1665,0.9965,3.3435,0.5465,9.035,red
0.505,0.1935,1.654,0.0792,5.656,42.1665,0.995,3.3865,0.5465,9.725,red
0.505,0.3045,1.654,0.0792,25.0,143.4335,0.9965,3.3005,0.6055,9.495,red
0.355,0.3595,1.654,0.0792,25.0,56.6335,0.9965,3.3435,0.6055,9.495,red
0.505,0.249,1.654,0.0992,15.4,71.1,0.995,3.1285,0.5465,9.495,red
0.605,0.0268,1.654,0.0591,5.656,13.0165,0.995,3.4295,0.6055,9.495,red
0.655,0.249,1.654,0.0792,5.656,27.7,0.998,3.3005,0.6055,9.955,red
0.655,0.3595,1.654,0.0792,15.4,56.6335,0.9965,3.3005,0.5465,10.415,red
0.405,0.249,1.654,0.0792,25.0,56.6335,0.9965,3.3865,0.6055,10.415,red
0.605,0.5255,1.654,0.34,25.0,85.5665,0.9965,3.0425,1.6145,9.495,red
0.805,0.1385,1.654,0.0792,5.656,27.7,0.998,3.3865,0.6055,9.725,red
0.405,0.249,1.654,0.0792,25.0,56.6335,0.9965,3.3865,0.6055,10.415,red
0.505,0.249,1.654,0.0792,5.656,42.1665,0.9965,3.4725,0.487,11.105,red
0.455,0.0268,1.654,0.0591,15.4,100.0335,0.993,3.5585,0.6055,12.255,red
0.355,0.0832,1.654,0.0792,15.4,42.1665,0.9965,3.3865,0.5465,9.955,red
0.355,0.1935,3.86,0.0992,15.4,56.6335,0.998,3.3435,0.7245,9.495,red
0.505,0.249,1.654,0.0792,5.656,42.1665,0.9965,3.4725,0.487,11.105,red
1.005,0.0832,1.654,0.0591,5.656,42.1665,0.9965,3.3005,0.5465,9.035,red
0.605,0.0268,1.654,0.0992,15.4,42.1665,0.9965,3.3865,0.6055,9.035,red
0.605,0.0268,1.654,0.0992,15.4,42.1665,0.9965,3.3865,0.6055,9.035,red
0.655,0.0268,1.654,0.0992,15.4,42.1665,0.9965,3.3865,0.6055,9.265,red
0.605,0.0268,1.654,0.0992,15.4,42.1665,0.9965,3.3865,0.6055,9.035,red
1.005,0.0832,1.654,0.0591,5.656,42.1665,0.9965,3.3005,0.5465,9.035,red
0.655,0.3595,1.654,0.26,5.656,56.6335,0.9965,2.9995,1.0805,9.265,red
0.355,0.581,1.654,0.0992,5.656,27.7,1.0,3.1285,0.7245,10.875,red
0.555,0.0832,1.654,0.0992,25.0,114.5,0.995,3.0855,0.487,9.725,red
0.205,0.415,1.654,0.0792,5.656,27.7,1.0,3.0855,0.843,9.265,red
0.205,0.415,1.654,0.0792,5.656,27.7,1.0,3.0855,0.843,9.265,red
0.655,0.0268,1.654,0.0792,5.656,27.7,0.998,3.6015,0.9615,9.955,red
0.655,0.0832,1.654,0.0792,15.4,56.6335,0.9965,3.3865,0.5465,9.495,red
0.605,0.1935,1.654,0.0792,15.4,71.1,0.9965,3.2145,0.4275,9.265,red
0.505,0.0832,1.654,0.0792,5.656,42.1665,0.9965,3.3435,0.487,9.725,red
0.655,0.0268,1.654,0.0792,5.656,27.7,0.998,3.6015,0.9615,9.955,red
0.305,0.415,1.654,0.0591,15.4,42.1665,0.998,3.2145,0.7835,9.955,red
0.605,0.0268,1.654,0.0792,15.4,27.7,0.9965,3.4725,0.7245,9.955,red
0.355,0.4705,3.86,0.0992,5.656,27.7,0.998,3.1715,0.5465,10.415,red
0.755,0.415,1.654,0.0992,5.656,85.5665,0.9965,3.2145,0.6055,9.495,red
0.605,0.0268,1.654,0.0792,15.4,27.7,0.9965,3.4725,0.7245,9.955,red
0.555,0.249,3.86,0.0792,15.4,114.5,0.9965,3.2575,0.5465,9.265,red
0.355,0.3595,1.654,0.0792,5.656,13.0165,0.998,3.2145,0.6055,9.265,red
0.705,0.0268,1.654,0.0792,15.4,56.6335,0.9965,3.4725,0.665,9.265,red
0.405,0.747,1.654,0.601,5.656,42.1665,0.9965,3.0425,1.2585,9.495,red
0.305,0.4705,1.654,0.0792,15.4,27.7,1.0,3.3435,0.7835,10.415,red
0.305,0.249,1.654,0.0792,15.4,42.1665,0.9965,3.3005,0.665,9.265,red
0.955,0.0268,1.654,0.0792,15.4,71.1,0.995,3.3435,0.6055,9.495,red
0.505,0.0268,1.654,0.0792,5.656,42.1665,0.995,3.3435,0.5465,9.955,red
0.355,0.249,1.654,0.0792,25.0,42.1665,0.9965,3.3005,0.665,9.265,red
0.555,0.4705,1.654,0.0591,5.656,27.7,1.0,3.0855,0.843,10.875,red
0.255,0.5255,1.654,0.0792,5.656,13.0165,0.9965,3.2145,0.7245,10.185,red
0.855,0.0268,3.86,0.0992,25.0,56.6335,1.0,3.6015,0.7245,9.725,red
0.355,0.4705,3.86,0.0792,15.4,42.1665,0.9965,3.3435,0.843,12.715,red
0.555,0.0268,3.86,0.0792,5.656,27.7,0.998,3.6875,0.9025,9.495,red
0.155,0.5255,3.86,0.0992,5.656,27.7,1.0,3.3005,0.9615,10.185,red
0.555,0.0832,3.86,0.0792,25.0,56.6335,0.9965,3.3435,0.665,10.645,red
0.155,0.5255,3.86,0.0992,5.656,27.7,1.0,3.3005,0.9615,10.185,red
0.355,0.581,3.86,0.0792,15.4,71.1,1.0,3.2145,0.7835,10.185,red
0.705,0.1935,1.654,0.0792,5.656,42.1665,0.9965,3.3005,0.665,9.495,red
0.655,0.1935,6.0335,0.0792,25.0,100.0335,0.998,3.3865,0.7835,9.495,red
0.555,0.0832,3.86,0.0792,25.0,56.6335,0.9965,3.3435,0.665,10.645,red
0.555,0.0268,3.86,0.0792,5.656,27.7,0.998,3.6875,0.9025,9.495,red
0.155,0.5255,3.86,0.0992,5.656,27.7,1.0,3.3005,0.9615,10.185,red
0.305,0.4705,6.0335,0.0792,5.656,13.0165,0.998,3.2145,0.843,12.485,red
0.405,0.3045,6.0335,0.0792,5.656,42.1665,0.998,3.3865,0.7835,10.415,red
0.255,0.415,3.86,0.0792,5.656,13.0165,0.998,3.1285,0.843,9.265,red
0.255,0.6915,3.86,0.36,5.656,13.0165,0.9965,3.2575,1.0805,9.955,red
0.505,0.1385,3.86,0.0591,15.4,56.6335,0.9965,3.3435,0.5465,9.035,red
0.405,0.3045,6.0335,0.0792,5.656,42.1665,0.998,3.3865,0.7835,10.415,red
0.605,0.0832,3.86,0.0992,34.6,71.1,1.0,3.3005,0.7245,9.725,red
0.605,0.0832,3.86,0.0992,34.6,71.1,1.0,3.3005,0.7245,9.725,red
0.455,0.5255,1.654,0.0792,25.0,42.1665,1.0,3.0855,0.7835,10.185,red
0.405,0.1385,3.86,0.0992,25.0,56.6335,0.9965,3.3865,0.7245,10.185,red
0.505,0.0832,1.654,0.0992,15.4,42.1665,0.998,3.3435,0.843,10.645,red
0.405,0.5255,3.86,0.0992,34.6,100.0335,1.002,3.2145,0.9615,9.265,red
0.505,0.0832,1.654,0.0992,15.4,42.1665,0.998,3.3435,0.843,10.645,red
0.205,0.4705,1.654,0.34,5.656,13.0165,0.998,3.3005,0.7245,10.415,red
0.555,0.249,1.654,0.0992,15.4,42.1665,1.0,3.2145,0.665,10.185,red
0.355,0.249,1.654,0.0992,5.656,13.0165,0.9965,3.4295,0.6055,10.185,red
0.355,0.5255,3.86,0.0992,15.4,56.6335,1.002,3.0425,0.7835,9.495,red
0.505,0.4705,1.654,0.0792,5.656,27.7,1.0,3.0425,0.665,9.495,red
