,total_sulfur_dioxide,chlorides,free_sulfur_dioxide,volatile_acidity,citric_acid,alcohol,residual_sugar
127,1,0,0,0,1,1,0
128,1,0,0,3,0,3,2
129,2,0,0,0,1,0,1
130,1,0,0,0,0,1,3
131,1,0,1,0,1,1,4
132,1,0,3,1,0,1,0
133,1,4,0,0,0,3,0
134,2,0,1,3,2,0,0
135,0,0,4,3,0,4,0
136,2,1,0,3,1,1,0
137,1,0,0,0,1,2,0
138,0,0,0,0,1,0,0
139,0,0,0,0,0,1,1
140,0,0,0,0,1,1,3
141,2,0,0,0,0,1,1
142,1,3,0,0,0,2,0
143,2,2,0,0,0,2,0
144,0,0,0,0,0,3,0
145,2,0,3,0,1,0,1
146,2,0,0,0,1,2,0
147,1,0,0,4,0,1,0
148,4,0,0,4,0,4,0
149,0,0,0,2,0,0,0
150,0,0,0,4,1,1,0
151,1,0,0,1,0,2,0
152,0,3,0,0,0,1,0
153,2,0,1,0,0,1,0
154,0,0,3,1,0,2,0
155,1,0,0,0,1,2,3
156,1,0,0,3,0,4,0
157,1,0,0,1,0,3,0
158,0,0,3,0,0,3,4
159,0,0,2,0,1,2,0
160,1,0,0,0,0,2,0
161,3,2,0,0,0,2,3
162,0,4,0,0,0,1,0
163,0,2,4,0,0,2,0
164,1,0,0,0,1,1,0
165,2,0,0,0,1,3,1
166,4,0,0,0,0,3,0
167,2,1,0,0,1,1,0
168,1,0,0,3,0,1,0
169,0,4,0,1,0,1,0
170,1,0,0,0,0,2,0
171,0,0,3,1,0,1,0
172,0,0,0,0,1,1,0
173,2,0,0,0,4,0,1
174,2,0,0,3,1,1,0
175,1,0,0,1,0,2,3
176,1,0,0,0,0,1,0
177,1,0,0,1,1,3,0
178,3,0,0,0,1,2,4
179,4,0,0,3,4,1,0
180,1,0,0,1,4,1,0
181,4,0,2,0,2,3,0
182,0,0,0,2,3,4,2
183,1,2,1,0,1,0,0
184,0,0,0,0,0,2,0
185,3,0,1,0,1,1,0
186,0,4,4,1,0,3,0
187,1,0,0,0,0,4,0
188,1,0,0,0,0,1,0
189,3,3,0,0,0,2,0
190,1,0,0,1,3,1,0
191,1,0,1,0,0,1,0
192,1,0,1,0,1,1,0
193,4,1,1,0,0,1,2
194,0,4,0,0,1,1,1
195,0,0,0,0,3,3,1
196,0,0,0,0,0,2,0
197,1,0,0,0,1,4,0
198,0,0,0,0,0,2,0
199,3,0,1,0,2,0,0
200,1,0,0,0,1,4,4
201,2,0,0,1,0,1,0
202,1,0,0,0,0,2,4
203,0,0,0,2,0,3,0
204,1,0,1,0,0,0,1
205,2,1,4,4,0,4,1
206,0,0,0,0,1,2,2
207,1,0,0,0,0,1,0
208,1,0,4,0,0,1,0
209,0,0,0,0,1,1,0
210,2,0,0,0,0,2,0
211,1,0,0,0,2,2,0
212,4,4,0,1,0,3,0
213,0,0,0,1,1,2,0
214,4,0,0,0,0,3,0
215,2,3,3,0,2,1,0
216,2,0,0,1,2,1,0
217,0,3,0,0,0,1,0
218,1,0,1,0,4,0,4
219,0,2,0,0,4,0,3
220,2,2,0,1,1,1,0
221,3,0,0,0,1,3,0
222,1,0,0,0,1,0,0
223,4,0,0,3,4,1,4
224,1,0,2,2,0,1,0
225,0,0,0,1,0,3,0
226,0,1,0,2,0,1,1
227,0,0,0,2,0,2,0
228,1,0,4,0,0,0,0
229,1,0,1,1,0,1,1
230,4,1,0,0,0,0,1
231,0,0,0,1,0,2,0
232,0,0,1,0,0,1,0
233,0,0,0,0,0,1,4
234,0,2,0,2,0,3,2
235,0,1,0,1,0,1,0
236,3,0,0,0,0,2,0
237,3,0,1,3,1,2,1
238,1,0,3,0,2,1,0
239,1,1,0,0,0,3,0
240,2,0,0,0,0,0,0
241,3,0,0,4,0,0,0
242,1,0,1,0,4,4,0
243,1,0,0,0,1,2,0
244,1,0,0,0,1,2,0
245,1,3,4,0,0,2,2
246,0,0,0,0,2,2,0
247,1,3,2,0,0,1,0
248,4,0,1,0,0,3,0
249,1,0,0,1,0,1,0
250,0,0,0,0,0,0,0
251,1,0,0,0,0,2,2
252,0,0,0,1,0,1,0
253,3,0,0,0,1,1,4
254,2,0,0,0,0,4,0
255,0,0,0,0,1,3,0
256,0,1,0,0,1,3,0
257,4,0,0,0,1,2,0
258,2,1,4,1,1,4,0
259,0,0,0,4,1,2,3
260,1,0,1,3,0,0,0
261,1,0,0,2,0,2,0
262,0,1,0,0,1,3,0
263,1,0,0,0,1,2,0
264,0,0,0,1,0,1,0
265,0,0,0,3,0,1,2
266,1,0,0,0,1,0,0
267,1,0,0,1,0,1,0
268,0,1,4,0,2,4,0
269,1,4,0,0,2,2,0
270,1,0,0,0,4,3,0
271,0,1,0,3,0,2,0
272,1,0,0,1,1,1,0
273,0,3,0,3,4,1,3
274,1,0,2,4,3,2,0
275,1,3,3,0,0,2,0
276,1,0,1,0,1,2,4
277,1,0,0,4,3,1,0
278,0,0,1,0,1,1,1
279,2,0,4,0,4,1,4
280,0,0,0,1,0,4,1
281,1,0,0,0,0,2,1
282,1,1,0,1,1,0,2
283,1,0,3,1,1,2,2
284,3,0,0,3,1,1,0
285,0,2,4,0,0,1,0
286,0,0,2,2,0,1,0
287,0,0,0,1,0,1,0
288,1,0,0,0,0,1,0
289,1,0,0,0,1,1,0
290,1,0,0,0,0,1,0
291,0,0,0,0,0,2,0
292,0,0,4,4,0,2,0
293,0,0,0,0,1,2,2
294,0,0,0,2,0,1,0
295,1,2,2,0,1,0,3
296,1,0,0,3,0,2,0
297,3,0,0,0,0,0,0
298,0,0,0,1,1,4,0
299,1,0,0,0,2,1,0
300,2,0,1,2,2,0,4
301,2,0,1,1,2,2,1
302,3,0,0,3,0,0,3
303,2,0,0,0,1,1,3
304,0,0,0,2,0,2,0
305,1,0,0,1,1,1,1
306,1,4,0,2,0,2,1
307,2,0,0,0,2,3,0
308,1,3,0,0,0,3,0
309,3,0,1,0,0,3,0
310,4,0,0,1,0,3,0
311,4,1,0,3,0,1,0
312,1,0,0,0,1,2,2
313,4,3,0,2,1,1,0
314,1,2,0,4,0,0,0
315,0,0,0,0,1,1,4
316,0,0,0,0,4,2,0
317,1,1,0,0,4,3,0
318,0,0,0,0,1,0,0
319,1,0,0,0,0,3,0
320,1,0,2,0,1,3,0
321,0,0,0,3,3,3,0
322,0,0,1,1,0,3,0
323,1,0,1,0,0,2,0
324,1,1,4,1,0,1,0
325,1,0,2,4,3,0,0
326,2,0,0,0,0,0,1
327,1,2,4,1,0,1,0
328,0,0,4,4,1,1,3
329,0,0,0,0,0,1,0
330,4,0,0,0,0,1,0
331,1,4,0,0,2,1,0
332,1,0,3,1,0,1,0
333,0,4,0,4,1,1,0
334,4,0,2,0,0,2,2
335,1,0,0,4,0,0,2
336,1,0,4,0,0,1,4
337,4,0,0,4,0,3,0
338,1,0,0,0,0,1,0
339,2,0,0,0,1,1,1
340,0,0,0,4,0,1,1
341,1,4,0,0,0,4,0
342,2,0,0,0,0,4,1
343,1,0,0,0,1,2,1
344,3,0,2,0,1,0,0
345,1,1,4,0,0,3,0
346,1,0,0,0,0,1,1
347,1,0,0,2,4,1,0
348,1,0,2,3,1,2,0
349,0,4,0,2,0,1,0
350,1,0,2,0,0,1,0
351,1,0,0,1,3,0,0
352,4,4,0,2,0,3,1
353,1,2,0,0,0,2,0
354,1,0,0,0,1,3,1
355,1,1,0,0,1,2,0
356,2,0,2,0,1,0,2
357,0,1,0,4,0,1,0
358,3,2,0,3,3,1,0
359,0,4,0,4,0,2,0
360,3,0,0,0,3,2,0
361,2,0,0,2,4,1,3
362,2,1,1,1,1,0,3
363,0,0,0,4,0,2,0
364,1,0,0,3,0,2,3
365,2,0,0,2,4,2,0
366,1,0,0,1,0,4,0
367,0,0,2,2,0,1,0
368,1,0,2,0,4,3,0
369,1,0,0,0,1,4,0
370,1,0,0,1,0,1,1
371,1,1,3,0,0,2,0
372,4,0,1,0,0,3,0
373,1,2,3,0,2,3,0
374,1,4,0,4,0,1,0
375,1,3,0,0,1,1,0
376,1,4,3,0,1,2,0
377,2,4,2,0,4,0,0
378,2,1,0,1,0,1,0
379,1,0,0,1,0,1,0
380,4,0,0,1,0,0,3
381,1,0,1,0,1,2,0
382,1,0,0,0,2,2,4
383,2,0,0,0,1,0,1
384,4,0,0,4,0,0,2
385,2,1,4,3,0,1,0
386,1,1,1,0,2,2,3
387,2,0,0,1,1,1,0
388,1,4,0,0,4,0,1
389,2,1,1,3,3,1,2
390,0,1,0,0,1,3,2
391,1,3,0,0,1,2,0
392,0,0,0,1,2,1,0
393,1,2,0,2,0,0,0
394,3,0,0,4,1,3,0
395,1,0,1,0,0,2,0
396,1,0,0,0,4,0,0
397,1,1,0,0,0,1,0
398,0,1,1,0,0,2,4
399,1,0,1,2,1,4,0
400,0,0,1,1,3,2,0
401,0,1,0,1,1,2,0
402,0,1,0,0,0,1,1
403,0,0,0,1,0,1,0
404,0,0,0,1,0,1,0
405,1,2,0,1,0,2,0
406,1,0,0,1,0,0,0
407,2,1,0,2,0,2,0
408,2,0,0,1,1,1,0
409,1,0,3,4,3,0,1
410,3,0,0,2,0,3,0
411,1,3,0,0,0,2,0
412,0,0,1,0,2,4,0
413,1,2,0,0,0,2,0
414,2,0,0,1,0,1,0
415,0,0,0,1,0,0,0
416,1,0,0,0,2,0,2
417,2,0,1,0,0,1,0
418,2,0,0,0,0,1,0
419,0,0,0,0,1,0,0
420,1,0,4,2,0,2,0
421,1,2,3,3,1,3,3
422,1,1,0,1,0,1,0
423,1,0,0,0,2,2,0
424,0,0,0,0,0,2,0
425,0,0,0,0,1,2,0
426,1,0,0,4,0,3,1
427,2,0,0,0,1,1,4
428,0,0,0,0,0,4,0
429,2,3,4,2,0,2,2
430,1,0,0,0,0,3,0
431,1,1,0,0,1,1,0
432,1,3,1,3,0,3,0
433,2,0,3,0,0,1,0
434,1,0,3,1,1,2,0
435,0,0,0,0,0,1,4
436,1,2,0,0,0,0,0
437,2,0,4,0,1,2,2
438,0,0,0,0,1,2,0
439,2,0,0,0,0,1,0
440,2,0,0,0,0,0,0
441,2,0,0,0,2,2,0
442,0,0,0,0,0,2,0
443,0,4,0,1,1,3,0
444,0,0,1,0,0,3,0
445,1,1,1,1,1,0,1
446,1,0,0,0,0,2,0
447,0,0,0,1,3,1,0
448,0,0,0,0,0,1,0
449,1,0,0,0,0,1,0
450,0,0,0,1,2,1,0
451,1,0,1,0,1,0,1
452,0,0,0,2,0,0,3
453,2,0,0,3,0,0,1
454,1,1,0,0,0,3,0
455,2,1,0,3,4,1,0
456,0,0,0,2,0,2,0
457,0,0,4,2,0,2,2
458,0,0,0,0,1,2,0
459,0,0,0,1,0,1,0
460,1,0,4,4,0,0,2
461,1,0,0,0,1,2,0
462,1,0,0,0,1,0,0
463,3,0,0,0,0,0,1
464,1,2,0,0,2,3,0
465,4,0,0,1,0,1,0
466,0,0,3,0,1,4,0
467,0,3,0,1,0,3,0
468,1,0,0,1,0,4,1
469,0,1,0,3,0,1,0
470,1,0,4,0,0,2,0
471,0,1,0,1,4,3,0
472,1,0,1,0,0,2,0
473,3,1,0,0,1,0,0
474,2,1,0,0,1,2,0
475,1,0,3,1,4,3,0
476,1,0,1,0,1,0,0
477,2,3,0,0,0,0,0
478,1,0,0,0,1,4,0
479,1,0,1,4,4,2,0
480,4,2,0,0,0,4,0
481,0,0,0,1,0,2,0
482,1,0,0,0,0,2,0
483,1,0,0,3,0,2,0
484,1,0,0,4,0,0,0
485,3,0,0,1,0,2,2
486,2,0,0,0,3,2,0
487,1,4,0,4,0,0,0
488,1,0,0,0,4,1,3
489,1,1,0,0,0,0,0
490,1,0,0,0,0,1,0
491,1,0,1,2,1,0,0
492,1,0,0,0,2,2,0
493,1,0,4,3,1,2,0
494,0,0,0,2,0,1,4
495,1,0,0,0,0,0,0
496,1,0,0,3,3,2,0
497,1,0,0,0,3,2,0
498,1,0,0,0,1,0,0
499,1,0,0,0,1,1,0
500,3,1,0,3,1,1,1
501,4,4,0,0,0,1,0
502,1,1,1,0,0,2,0
503,1,0,3,0,0,1,2
504,4,0,4,0,1,1,0
505,0,0,0,0,4,2,0
506,3,2,3,0,0,3,4
507,2,0,0,0,0,2,1
508,0,0,3,1,1,3,0
509,2,0,0,0,1,3,0
510,0,1,0,0,3,4,0
511,3,3,1,0,0,1,0
512,0,0,3,2,0,0,3
513,1,0,1,0,1,2,0
514,3,2,0,4,0,1,0
515,0,0,0,0,0,2,0
516,1,0,2,0,1,2,4
517,0,0,0,0,1,0,0
518,2,0,2,0,1,4,3
519,1,0,0,0,0,3,0
520,1,3,0,1,4,0,4
521,1,0,1,0,1,0,1
522,0,0,0,4,0,1,0
523,3,0,0,1,0,0,4
524,1,0,0,1,0,0,0
525,0,2,0,1,0,0,0
526,4,0,0,0,4,4,1
527,0,0,0,0,1,1,0
528,2,1,0,4,3,2,0
529,3,0,0,2,0,1,0
530,1,0,1,0,0,3,0
531,4,0,0,1,0,3,0
532,1,2,0,3,0,0,0
533,1,3,0,2,0,1,0
534,2,0,2,1,2,4,0
535,1,3,4,0,0,1,0
536,0,1,3,1,0,1,0
537,0,0,0,1,1,2,0
538,1,0,0,0,1,1,0
539,1,0,0,0,3,2,0
540,2,0,0,0,3,3,0
541,3,0,2,0,0,2,0
542,3,0,0,0,4,2,2
543,2,3,0,0,1,0,0
544,3,0,0,3,1,2,3
545,0,0,0,3,0,1,0
546,4,0,3,0,0,2,0
547,2,0,0,0,1,1,0
548,1,0,3,0,1,0,1
549,0,3,0,1,1,3,0
550,0,0,0,2,1,2,2
551,1,0,4,0,3,2,0
552,1,0,0,0,1,3,0
553,0,0,0,0,1,2,0
554,1,0,0,0,1,0,0
555,1,0,2,2,0,2,3
556,0,0,0,0,0,1,0
557,1,0,0,1,0,1,2
558,2,0,0,0,1,3,0
559,0,0,0,1,0,1,2
560,0,0,0,1,0,1,0
561,2,0,1,3,0,1,0
562,2,0,1,3,1,0,0
563,0,0,0,0,0,1,0
564,1,0,4,0,1,2,0
565,1,4,3,0,1,1,0
566,2,4,3,0,1,4,3
567,0,0,3,1,1,4,0
568,1,2,0,0,0,2,0
569,2,4,0,0,4,1,4
570,1,2,0,0,0,2,0
571,0,0,3,0,3,1,0
572,1,1,0,4,1,1,0
573,4,3,2,0,0,1,2
574,0,0,0,1,4,1,0
575,4,3,0,1,2,1,0
576,1,4,4,0,0,1,0
577,1,0,0,0,4,1,0
578,4,0,0,1,4,1,3
579,1,1,2,0,4,1,3
580,1,0,0,0,2,0,0
581,0,0,0,1,0,0,0
582,1,0,1,1,0,1,0
583,3,0,0,0,4,1,3
584,4,0,1,0,0,1,0
585,2,0,3,0,0,1,4
586,0,0,0,0,1,2,0
587,0,0,0,0,0,1,0
588,0,3,0,0,1,4,0
589,1,0,0,1,1,2,0
590,2,0,0,0,2,0,4
591,4,1,0,3,2,1,3
592,1,2,3,1,4,2,1
593,0,0,0,1,0,0,0
594,3,0,0,2,0,3,0
595,0,1,0,4,0,1,1
596,3,0,3,0,1,1,2
597,0,0,0,0,0,2,0
598,1,0,0,0,0,0,1
599,1,2,0,0,3,0,1
600,1,0,0,1,0,3,1
601,4,0,0,0,1,4,0
602,1,0,1,0,1,1,3
603,0,0,2,2,2,0,0
604,3,0,0,1,0,4,0
605,1,0,0,0,1,1,3
606,1,0,2,0,1,0,4
607,4,0,0,1,0,3,2
608,2,0,1,0,0,1,0
609,4,0,0,1,1,0,0
610,0,2,0,3,3,4,0
611,0,3,0,1,4,1,0
612,2,0,0,0,1,2,0
613,1,0,0,0,0,1,3
614,0,1,0,1,0,1,0
615,1,0,1,0,1,1,3
616,0,0,0,1,0,3,4
617,4,0,0,0,0,3,2
618,1,0,1,0,1,1,0
619,3,0,0,4,0,1,0
620,1,0,0,1,1,0,0
621,2,0,2,4,0,1,0
622,1,0,0,0,0,0,0
623,4,0,1,0,0,2,2
624,0,0,4,0,1,1,2
625,2,0,0,0,4,1,0
626,1,0,0,0,0,0,1
627,1,0,0,0,0,2,0
628,0,0,3,0,4,0,0
629,4,0,0,0,1,2,0
630,0,0,0,0,0,2,3
631,2,0,1,1,0,0,0
632,1,0,0,0,0,1,0
633,3,4,0,0,0,2,2
634,3,0,0,1,0,0,0
635,1,0,0,0,2,1,2
636,4,0,0,0,2,4,0
637,0,0,2,3,4,1,0
638,0,3,0,1,1,0,3
639,1,0,0,1,2,1,4
640,1,0,0,0,1,1,0
641,0,0,0,2,3,1,0
642,3,0,0,0,4,3,0
643,0,0,1,0,0,1,0
644,0,0,0,3,3,4,0
645,2,0,0,0,3,0,1
646,1,0,2,0,0,1,0
647,0,1,0,0,0,3,0
648,0,0,0,3,0,2,0
649,1,1,0,0,0,1,0
650,3,0,0,1,1,4,0
651,2,0,0,0,0,4,1
652,0,0,0,1,0,1,4
653,0,0,0,1,0,2,0
654,1,0,0,0,0,0,1
655,1,4,0,0,1,2,1
656,4,0,0,2,0,1,0
657,2,0,1,1,1,1,0
658,2,0,1,0,2,2,3
659,4,0,3,0,0,1,0
660,1,0,0,0,1,0,0
661,4,0,3,1,0,2,0
662,1,0,0,0,0,1,0
663,1,0,0,0,0,1,1
664,1,0,0,0,0,0,1
665,1,0,0,0,0,0,1
666,4,0,0,2,2,2,0
667,1,3,0,4,0,0,3
668,1,0,0,2,0,2,0
669,0,0,0,0,4,4,0
670,1,0,0,4,3,2,0
671,0,0,0,1,1,2,1
672,4,0,0,1,1,1,0
673,1,4,2,0,3,2,2
674,1,1,1,0,0,1,1
675,1,0,0,1,0,2,3
676,2,0,0,0,0,4,0
677,1,0,2,0,0,1,3
678,1,0,0,1,1,1,0
679,2,4,0,2,1,3,2
680,0,0,4,4,0,3,0
681,1,0,0,0,3,1,2
682,1,0,0,0,2,2,2
683,0,0,1,0,1,0,0
684,0,0,0,2,0,1,0
685,0,0,0,1,1,2,4
686,1,0,0,0,0,2,0
687,1,0,3,4,2,2,0
688,1,0,0,2,3,1,0
689,1,0,0,0,1,2,0
690,2,0,1,3,2,1,0
691,1,0,0,1,2,1,0
692,0,4,0,0,2,2,0
693,4,2,0,1,0,3,4
694,0,0,0,1,4,1,0
695,2,4,1,0,1,1,1
696,0,0,1,1,0,1,0
697,2,0,0,0,0,0,0
698,2,0,1,0,0,1,0
699,1,0,1,0,1,2,0
700,1,0,0,0,0,0,1
701,2,0,0,0,2,3,0
702,4,3,0,1,0,1,0
703,1,0,0,3,0,0,0
704,0,0,2,1,1,2,0
705,2,0,0,0,1,3,2
706,1,4,0,0,1,3,0
707,1,4,0,0,0,4,0
708,0,0,4,1,1,0,0
709,1,0,0,0,0,1,0
710,1,4,0,0,0,1,0
711,2,4,0,4,0,4,0
712,2,4,4,0,1,1,0
713,1,3,0,0,0,3,0
714,0,0,0,2,0,4,0
715,2,0,2,0,0,1,0
716,4,0,0,1,0,1,0
717,2,4,0,4,0,2,0
718,3,0,0,1,1,0,0
719,1,0,0,1,0,1,0
720,0,0,0,0,1,2,0
721,1,4,0,4,1,0,0
722,2,3,0,0,0,2,0
723,1,0,0,2,0,1,0
724,2,0,0,0,0,1,1
725,1,0,3,0,0,3,0
726,1,0,0,0,0,2,1
727,0,3,1,4,1,0,4
728,1,1,3,4,0,0,1
729,4,0,0,0,0,2,0
730,0,0,0,0,0,3,0
731,0,0,0,0,1,2,0
732,1,1,3,3,1,1,0
733,0,0,0,1,1,0,1
734,0,3,0,0,0,2,2
735,1,0,0,2,3,1,0
736,1,0,4,0,1,0,2
737,2,0,0,0,1,0,0
738,1,3,0,3,1,2,3
739,1,0,3,0,1,1,0
740,0,1,0,0,1,3,0
741,0,0,0,1,1,3,3
742,0,2,2,1,4,2,0
743,1,4,0,0,1,4,0
744,0,0,0,0,1,4,0
745,1,0,4,0,0,4,3
746,0,0,2,0,0,1,0
747,3,0,0,0,4,3,0
748,1,0,0,0,1,0,0
749,0,0,1,4,0,1,4
750,0,1,1,1,3,0,0
751,0,0,0,1,1,4,0
752,0,0,0,1,0,1,2
753,2,0,0,0,1,0,0
754,2,1,0,1,1,0,0
755,4,3,1,0,1,2,1
756,0,0,0,0,2,2,0
757,0,2,4,1,0,2,0
758,0,4,0,2,1,1,0
759,1,2,3,4,0,0,3
760,1,0,0,4,0,1,0
761,2,0,0,0,0,1,0
762,2,3,0,0,0,2,1
763,0,0,0,0,1,4,3
764,1,0,4,2,0,2,0
765,1,3,0,0,1,0,1
766,1,2,1,2,1,1,4
767,1,0,0,0,0,1,0
768,4,1,1,1,0,0,1
769,1,3,2,1,3,4,0
770,2,0,1,0,0,0,4
771,4,0,0,0,0,1,1
772,0,1,0,1,2,1,0
773,0,0,2,1,0,2,0
774,2,2,0,4,3,1,0
775,1,0,0,0,3,3,0
776,1,0,0,2,1,1,1
777,0,0,0,2,0,2,0
778,4,0,4,1,0,3,0
779,1,2,1,0,1,0,1
780,0,2,2,2,2,2,0
781,0,4,0,1,0,2,2
782,1,0,4,0,0,1,0
783,1,0,4,0,1,1,2
784,0,2,0,1,1,0,0
785,1,0,4,1,0,0,0
786,2,0,0,0,2,0,1
787,1,0,0,0,4,1,0
788,1,0,0,1,0,1,2
789,2,0,0,0,1,1,0
790,1,0,0,1,0,3,0
791,0,1,0,0,4,0,0
792,0,0,0,2,0,2,3
793,1,0,0,1,0,3,0
794,0,4,1,0,0,2,0
795,1,0,0,0,1,1,2
796,1,3,0,0,1,1,0
797,0,2,4,0,1,2,0
798,0,0,0,0,1,2,3
799,1,0,0,0,0,2,0
800,0,1,0,3,0,2,3
801,2,0,4,0,1,4,1
802,1,1,0,2,4,1,2
803,1,2,2,4,0,2,4
804,0,0,0,1,1,2,0
805,0,0,0,3,0,0,0
806,0,0,0,0,4,4,0
807,1,4,0,2,0,1,0
808,0,0,4,0,1,2,2
809,1,0,1,1,1,3,0
810,0,0,3,0,3,4,0
811,1,0,1,2,1,3,0
812,0,0,0,1,0,4,4
813,1,0,0,4,0,0,0
814,2,0,0,4,0,2,0
815,2,2,1,1,1,0,0
816,1,1,0,0,0,1,0
817,0,3,0,1,0,0,1
818,4,0,0,0,1,1,0
819,3,4,1,2,1,0,0
820,2,0,0,0,1,0,1
821,1,0,0,0,1,2,0
822,0,3,0,2,1,2,0
823,4,0,4,0,0,0,1
824,1,0,0,1,1,1,1
825,1,0,0,0,0,1,0
826,2,4,3,0,0,0,1
827,3,0,3,1,0,1,3
828,0,0,0,0,1,1,0
829,1,0,0,1,1,1,0
830,0,4,0,0,0,1,4
831,1,2,4,0,0,0,1
832,1,0,0,0,1,2,0
833,0,4,0,2,0,1,0
834,1,0,0,0,0,1,2
835,1,2,1,4,0,2,0
836,0,0,0,0,1,2,0
837,1,2,0,1,0,1,4
838,0,4,0,0,1,1,0
839,1,0,0,0,0,1,2
840,0,0,0,1,0,1,0
841,0,0,1,0,1,2,4
842,1,1,0,0,0,1,0
843,3,0,0,0,0,1,4
844,1,0,3,0,1,1,0
845,2,1,0,2,0,1,0
846,1,0,0,0,0,0,0
847,0,0,0,1,1,3,0
848,1,0,0,1,0,4,0
849,2,0,0,0,0,3,0
850,1,1,0,0,0,3,0
851,1,0,0,0,1,1,1
852,0,0,0,1,0,1,1
853,0,1,0,0,0,2,2
854,0,0,2,0,0,1,4
855,0,4,0,2,3,2,0
856,1,0,0,4,1,2,0
857,1,0,0,1,0,0,1
858,0,0,0,0,0,1,0
859,0,0,0,1,0,1,3
860,1,0,0,1,3,2,0
861,1,0,0,0,0,0,1
862,1,0,0,4,1,4,1
863,1,2,0,1,1,2,0
864,4,4,0,0,4,1,3
865,0,0,0,0,0,2,0
866,1,0,0,1,0,0,0
867,2,0,0,0,0,1,3
