,chlorides,density,citric_acid,alcohol,total_sulfur_dioxide,sulphates,volatile_acidity
265,0,0,0,4,4,0,1
266,0,0,2,4,0,1,2
267,0,1,0,1,1,1,1
268,0,1,1,2,3,1,0
269,0,0,0,2,1,0,0
270,4,0,2,2,1,0,2
271,0,0,0,2,3,0,3
272,3,0,1,1,0,0,0
273,2,0,3,2,0,0,2
274,0,0,0,2,0,0,4
275,0,0,0,1,1,0,0
276,1,0,1,4,1,0,0
277,3,0,0,3,1,0,0
278,0,0,1,1,0,1,0
279,0,1,1,3,2,0,0
280,0,1,0,1,0,0,0
281,0,0,3,2,1,4,0
282,2,0,1,0,1,0,1
283,0,2,1,2,0,0,1
284,0,1,1,1,0,1,0
285,0,0,1,1,0,1,0
286,4,0,0,2,2,0,0
287,0,2,0,1,3,1,1
288,0,3,0,1,1,0,0
289,0,4,2,1,1,0,0
290,0,0,0,4,1,0,0
291,0,4,0,2,0,0,0
292,2,0,0,2,1,0,0
293,3,0,4,2,0,2,0
294,0,0,4,0,0,0,2
295,0,0,1,0,4,0,0
296,0,0,0,2,1,0,0
297,0,0,3,0,0,0,0
298,0,1,4,0,4,1,3
299,0,0,0,1,1,0,0
300,4,1,0,3,2,0,0
301,0,0,0,2,2,1,4
302,0,0,3,0,1,0,1
303,0,0,0,1,0,0,3
304,0,0,2,2,0,0,4
305,0,1,0,4,0,2,1
306,0,0,0,1,1,0,1
307,0,0,1,2,2,1,2
308,0,4,0,3,1,0,0
309,0,0,0,1,2,0,0
310,0,4,0,3,0,0,0
311,2,0,0,1,1,1,0
312,0,4,1,4,3,1,0
313,2,1,0,2,1,0,0
314,2,0,1,1,0,0,2
315,0,0,3,1,0,2,0
316,1,0,1,2,0,2,0
317,0,0,3,4,1,0,0
318,0,2,3,0,0,1,0
319,0,0,0,3,1,0,0
320,0,0,1,3,1,1,3
321,0,0,0,2,0,1,4
322,0,0,0,2,0,2,1
323,2,0,0,2,1,0,0
324,0,0,0,2,3,2,0
325,0,4,3,1,1,1,2
326,0,1,0,4,2,0,3
327,4,0,1,1,4,1,1
328,0,4,2,1,1,1,1
329,0,1,0,1,4,1,0
330,0,0,2,0,3,0,0
331,0,0,1,2,0,2,0
332,0,0,0,1,4,0,1
333,0,4,1,1,0,0,2
334,0,0,0,2,2,1,0
335,4,2,4,0,1,0,1
336,3,3,0,0,1,0,0
337,0,0,0,3,0,1,0
338,3,0,0,2,2,0,0
339,4,0,1,1,2,3,0
340,0,1,0,1,0,1,1
341,3,0,1,0,1,3,2
342,2,0,0,1,1,2,0
343,0,0,0,2,1,0,4
344,0,0,4,0,2,0,0
345,0,0,1,1,1,1,2
346,0,1,4,2,4,4,0
347,3,0,4,1,1,1,0
348,0,0,1,1,1,1,3
349,0,0,0,1,0,0,0
350,2,3,0,0,4,0,0
351,0,2,1,0,1,0,0
352,0,1,0,3,0,0,0
353,0,0,0,2,3,3,2
354,2,0,0,1,1,1,0
355,0,1,1,2,0,0,3
356,4,0,1,1,2,0,3
357,1,4,0,1,4,0,0
358,0,1,1,1,0,0,0
359,2,0,0,2,1,0,0
360,4,0,0,3,2,0,0
361,0,4,0,1,0,1,2
362,0,1,1,0,2,0,0
363,0,0,1,2,0,1,1
364,0,0,0,2,1,0,3
365,0,4,0,1,4,2,0
366,0,0,0,4,4,1,1
367,0,0,0,1,0,0,2
368,0,3,1,3,1,1,0
369,0,0,0,1,1,0,0
370,0,1,0,1,1,0,0
371,0,4,4,2,2,0,0
372,0,0,4,3,0,0,0
373,0,0,0,3,1,1,0
374,0,0,4,1,2,3,0
375,0,0,3,1,1,1,0
376,3,0,1,2,4,2,4
377,0,1,1,0,2,4,1
378,0,4,0,1,0,0,1
379,0,4,0,2,1,0,0
380,1,0,0,0,1,4,1
381,0,4,1,2,1,4,0
382,3,0,1,2,3,0,0
383,0,1,1,0,0,1,2
384,0,1,1,0,1,1,0
385,0,2,0,4,1,1,0
386,0,2,1,2,1,3,0
387,0,3,0,1,2,1,0
388,0,0,0,2,1,0,0
389,0,0,0,3,2,0,4
390,0,1,1,1,1,0,3
391,0,0,3,2,1,2,0
392,0,0,1,4,2,2,1
393,0,1,0,4,1,0,4
394,0,2,1,3,0,0,4
395,0,0,4,2,1,0,0
396,0,1,0,0,2,4,0
397,0,0,0,1,1,0,4
398,0,3,3,2,0,0,0
399,0,0,1,2,1,1,0
400,0,1,0,2,0,0,1
401,0,0,1,2,0,1,3
402,0,0,0,3,3,0,0
403,0,3,0,2,0,0,1
404,0,0,0,1,0,0,1
405,0,0,3,1,2,0,1
406,0,2,0,0,1,0,2
407,0,0,0,4,1,1,0
408,0,4,1,1,0,0,1
409,0,2,1,0,2,0,1
410,0,0,0,1,0,0,1
411,0,0,3,2,1,1,0
412,2,2,0,1,1,3,0
413,0,0,0,0,2,2,0
414,0,4,0,0,2,0,1
415,0,0,1,1,0,3,1
416,0,1,2,0,1,0,0
417,0,0,0,1,3,0,0
418,0,0,2,1,2,1,0
419,0,0,1,3,0,4,0
420,0,0,3,2,4,4,0
421,0,0,1,0,1,0,0
422,1,0,0,1,1,2,4
423,0,0,0,2,1,3,0
424,0,0,0,2,0,0,0
425,3,2,1,2,0,1,0
426,0,0,0,3,1,0,2
427,1,0,3,1,1,0,3
428,0,0,4,3,1,0,0
429,3,0,1,1,2,2,0
430,4,0,0,4,1,0,0
431,0,0,1,3,2,0,0
432,4,0,0,2,1,0,1
433,0,0,0,1,1,0,4
434,4,0,1,2,1,0,0
435,0,2,0,1,2,3,0
436,0,3,2,1,3,1,0
437,0,3,1,2,0,1,4
438,0,0,1,2,0,0,0
439,1,0,0,1,2,1,0
440,2,0,0,4,2,0,0
441,2,0,1,2,0,1,0
442,0,3,1,2,3,0,0
443,0,3,1,3,0,0,1
444,0,0,0,3,3,0,0
445,1,1,1,1,1,0,4
446,0,0,3,1,1,0,0
447,0,0,1,1,0,1,1
448,0,0,1,1,0,0,1
449,1,0,0,1,1,3,0
450,0,1,0,1,0,0,1
451,0,1,1,0,1,1,0
452,1,1,4,2,0,1,2
453,0,1,0,0,1,0,1
454,0,0,0,3,3,0,2
455,1,0,0,1,0,0,1
456,0,0,0,2,0,0,1
457,0,0,0,4,0,1,2
458,2,0,0,2,0,0,1
459,0,1,0,1,3,1,1
460,3,4,0,0,0,0,0
461,0,0,1,3,1,0,0
462,0,0,4,0,1,0,0
463,3,1,0,0,2,1,0
464,2,0,0,3,1,0,0
465,0,0,0,4,0,3,0
466,0,0,1,2,0,1,2
467,0,0,0,3,0,1,1
468,0,1,0,1,1,0,1
469,0,3,0,1,4,1,1
470,2,0,0,2,4,3,1
471,1,3,2,1,0,4,1
472,0,0,0,2,1,0,0
473,0,0,1,0,2,4,2
474,0,0,4,1,2,0,0
475,1,0,0,4,1,0,0
476,0,0,0,3,1,0,0
477,0,4,0,0,2,1,1
478,0,0,0,2,1,4,0
479,4,0,0,2,1,0,0
480,4,0,2,3,1,0,0
481,0,0,3,2,0,1,0
482,0,2,1,4,2,0,3
483,3,0,4,2,1,0,1
484,0,0,0,4,1,1,0
485,0,0,0,2,1,0,2
486,2,0,2,2,2,0,0
487,4,1,0,0,0,1,1
488,0,1,1,2,4,0,0
489,4,2,0,1,1,0,3
490,0,0,0,1,1,0,0
491,3,1,2,0,0,2,0
492,0,0,0,2,1,2,0
493,0,4,1,2,1,0,4
494,0,0,3,1,4,3,2
495,0,1,0,3,1,1,0
496,0,0,1,3,1,0,0
497,0,0,3,3,0,0,0
498,0,1,1,0,1,0,2
499,3,0,1,1,0,0,4
500,0,0,2,4,1,0,0
501,0,2,0,1,1,1,0
502,0,0,0,2,1,1,4
503,0,0,0,2,1,0,0
504,0,0,4,1,0,0,0
505,0,0,1,2,0,2,0
506,3,0,0,2,1,0,0
507,0,1,0,1,1,0,0
508,0,4,1,3,0,1,1
509,0,0,0,3,0,0,3
510,1,1,1,3,0,2,0
511,4,3,0,1,2,0,0
512,0,0,0,2,0,1,1
513,0,0,4,4,1,4,1
514,1,3,0,1,2,1,4
515,0,0,1,2,0,0,1
516,3,0,1,0,1,3,0
517,0,4,1,2,0,1,0
518,0,0,3,0,2,0,0
519,1,4,0,2,1,3,0
520,0,0,0,2,1,0,1
521,0,0,2,0,1,0,0
522,0,0,0,1,0,1,4
523,0,4,2,0,0,0,1
524,4,0,0,0,1,0,1
525,2,0,0,3,0,2,1
526,0,1,0,0,1,3,0
527,0,2,1,1,0,4,0
528,1,0,0,0,0,0,4
529,0,0,0,1,0,4,4
530,0,0,0,3,1,0,0
531,0,3,0,3,1,0,1
532,3,0,0,4,1,1,0
533,0,0,0,4,4,0,4
534,0,0,4,1,1,0,0
535,4,0,0,1,1,0,4
536,0,1,0,4,0,1,1
537,4,0,1,1,0,1,1
538,4,3,1,1,4,1,0
539,0,0,0,2,4,0,0
540,0,0,3,4,1,0,0
541,0,0,4,2,3,0,1
542,2,0,4,2,1,0,0
543,0,1,1,0,2,0,0
544,0,3,1,2,0,1,3
545,0,0,0,1,0,0,1
546,0,4,1,2,0,1,0
547,0,1,0,1,1,0,0
548,0,1,1,0,1,1,0
549,0,0,1,3,1,0,0
550,0,0,1,0,0,1,0
551,0,0,1,1,0,4,0
552,0,0,0,2,1,0,0
553,0,0,1,2,1,0,0
554,0,4,1,3,1,0,0
555,0,4,0,2,1,2,0
556,0,0,0,1,0,1,0
557,0,4,0,2,1,1,4
558,0,0,1,2,1,0,4
559,0,3,0,2,1,4,0
560,0,1,3,1,0,1,1
561,0,1,0,1,4,0,0
562,0,0,0,0,2,4,1
563,0,0,0,1,0,0,3
564,0,0,4,1,1,0,3
565,0,4,1,1,2,1,0
566,0,2,1,1,1,0,0
567,0,0,1,2,4,0,0
568,2,0,0,2,1,4,1
569,3,2,3,3,2,1,0
570,0,0,0,2,0,2,0
571,0,1,0,1,1,1,0
572,0,0,1,1,2,3,0
573,0,0,3,1,1,0,3
574,0,0,0,1,0,1,1
575,1,0,2,1,0,2,1
576,0,0,0,1,0,0,1
577,0,0,0,1,1,0,0
578,4,0,0,1,0,0,4
579,0,0,4,0,3,0,0
580,4,0,0,0,1,0,0
581,0,0,0,4,0,3,2
582,0,0,1,1,1,0,1
583,4,1,0,0,3,0,3
584,0,0,0,1,2,0,0
585,0,0,0,1,4,0,0
586,0,4,1,2,0,1,0
587,3,0,0,1,2,0,4
588,0,0,0,2,0,0,4
589,0,1,0,2,3,0,1
590,0,1,0,0,3,4,0
591,4,0,2,1,0,4,0
592,0,0,1,2,1,0,0
593,1,2,0,1,0,0,0
594,0,0,4,1,0,3,0
595,0,1,2,1,1,0,0
596,0,0,3,1,2,0,0
597,0,1,0,2,3,1,3
598,0,4,0,2,0,0,2
599,1,1,1,3,2,3,4
600,0,0,0,3,1,0,1
601,0,2,1,4,0,0,0
602,1,1,4,0,4,0,0
603,0,4,1,4,1,4,0
604,0,0,2,1,0,0,3
605,0,0,1,4,1,0,0
606,0,2,1,0,1,4,0
607,0,0,4,3,4,4,1
608,2,0,3,1,3,0,0
609,0,0,1,0,0,1,1
610,0,4,4,4,4,1,1
611,0,0,0,1,0,1,1
612,4,0,3,2,1,1,0
613,1,0,2,2,1,0,2
614,4,1,2,1,1,0,1
615,0,0,1,1,0,0,0
616,0,0,3,0,2,0,1
617,1,0,0,3,1,0,4
618,0,2,1,1,1,0,0
619,0,2,0,1,1,0,0
620,4,4,1,0,1,1,1
621,0,0,0,1,2,2,0
622,0,0,4,0,1,0,1
623,0,0,0,2,4,1,0
624,2,0,1,1,0,0,0
625,0,0,0,4,2,0,1
626,0,3,1,0,1,0,0
627,1,3,4,0,1,1,0
628,0,1,2,0,0,1,0
629,0,0,1,2,1,0,1
630,0,0,0,0,3,0,0
631,2,3,0,3,0,0,1
632,0,1,0,0,1,0,0
633,0,0,0,2,1,0,0
634,2,0,0,3,1,4,3
635,2,0,0,1,1,0,0
636,0,1,1,1,0,1,0
637,3,0,1,1,0,0,1
638,0,1,2,2,0,1,4
639,1,0,0,1,1,1,1
640,0,2,1,2,1,0,0
641,0,3,1,1,0,1,2
642,0,0,1,1,0,0,0
643,0,4,3,1,2,0,0
644,4,0,1,2,0,4,0
645,3,1,1,0,0,0,0
646,1,0,0,1,2,0,3
647,4,0,1,3,0,1,0
648,0,0,4,2,0,3,3
649,0,0,0,0,0,0,4
650,3,0,3,2,1,0,1
651,0,1,0,0,2,1,0
652,0,4,0,1,0,2,1
653,0,0,0,2,0,2,2
654,0,0,0,0,1,0,0
655,0,0,1,2,1,0,0
656,0,0,2,1,0,0,3
657,0,0,0,1,2,4,1
658,0,2,1,3,2,4,2
659,3,0,0,1,1,0,0
660,0,0,2,0,2,0,0
661,0,0,0,2,0,1,1
662,0,0,0,2,4,0,0
663,4,0,0,2,0,0,0
664,3,1,0,0,2,0,3
665,0,0,0,0,4,1,0
666,0,0,3,2,2,3,0
667,0,0,0,0,0,0,1
668,0,0,1,2,1,1,3
669,0,0,0,3,0,0,3
670,0,0,2,4,1,1,0
671,0,0,0,2,1,0,0
672,1,0,0,2,0,0,1
673,0,0,1,2,1,0,2
674,0,1,4,1,1,1,0
675,1,0,0,1,1,1,3
676,0,1,2,1,2,1,0
677,0,0,0,1,1,2,2
678,0,1,1,3,1,1,1
679,0,0,1,0,1,2,3
680,0,1,0,3,0,1,0
681,1,3,0,1,1,0,0
682,0,0,2,1,1,1,0
683,0,1,1,0,2,0,4
684,0,3,0,1,1,1,0
685,0,0,1,2,0,1,1
686,0,3,0,0,3,0,0
687,0,3,1,2,1,0,1
688,0,4,0,1,1,0,0
689,0,0,1,3,1,0,0
690,0,0,0,4,0,1,0
691,0,0,0,1,1,0,1
692,0,0,1,2,1,0,2
693,0,0,0,1,2,1,1
694,0,3,1,1,0,1,1
695,0,2,1,1,0,0,0
696,0,0,0,1,1,1,1
697,0,1,0,1,0,0,0
698,0,0,2,1,1,0,0
699,0,1,1,2,1,0,3
700,0,1,1,0,1,0,4
701,0,4,0,1,2,0,0
702,1,0,4,1,1,0,3
703,2,0,0,2,2,0,0
704,0,1,1,0,0,1,1
705,0,0,1,3,0,0,0
706,0,0,1,3,1,0,0
707,0,0,3,2,1,0,0
708,2,0,0,0,1,1,4
709,0,4,0,2,1,3,0
710,4,0,1,1,1,0,0
711,0,1,0,0,2,1,0
712,3,0,4,3,1,0,0
713,0,3,0,1,1,2,0
714,0,0,0,1,4,0,1
715,0,0,0,1,1,0,2
716,0,0,0,1,3,1,2
717,0,0,0,2,3,0,0
718,0,2,0,0,1,0,1
719,0,0,0,1,0,1,1
720,0,0,1,2,0,0,3
721,1,1,1,0,1,0,0
722,2,3,0,1,1,1,3
723,2,0,0,3,1,2,0
724,3,1,0,1,2,1,0
725,0,0,0,3,1,4,0
726,0,0,0,2,1,2,1
727,0,1,0,2,0,1,2
728,0,1,0,0,1,0,0
729,0,0,0,2,1,0,4
730,2,4,0,3,4,0,0
731,0,0,1,2,0,2,0
732,0,0,1,3,1,0,0
733,2,1,1,0,0,2,1
734,0,0,0,2,0,2,0
735,0,3,4,3,1,0,2
736,0,0,2,0,2,1,0
737,2,0,1,2,4,1,0
738,4,1,1,1,1,0,0
739,0,1,4,3,1,0,0
740,0,0,1,3,0,1,0
741,2,1,1,2,1,1,1
742,0,0,4,0,0,0,1
743,0,0,4,2,1,0,0
744,0,1,0,2,3,0,4
745,1,0,3,1,1,0,0
746,0,3,1,1,0,1,0
747,1,0,0,3,1,4,0
748,0,0,3,0,2,0,0
749,3,0,0,2,0,0,0
750,0,1,1,0,4,0,0
751,0,0,0,1,0,1,0
752,0,0,0,1,0,0,1
753,2,0,1,0,2,0,0
754,3,3,1,0,2,0,1
755,0,0,0,4,1,0,0
756,0,0,0,2,0,3,0
757,0,0,0,1,0,0,1
758,0,1,1,0,4,0,0
759,0,1,0,0,1,0,0
760,0,0,0,3,3,4,0
761,0,0,0,4,0,2,3
762,0,0,0,1,1,0,1
763,0,0,0,1,0,4,0
764,0,0,3,2,1,0,0
765,4,1,1,0,1,0,0
766,3,0,0,0,1,0,3
767,1,0,2,1,1,0,4
768,0,1,3,0,2,0,1
769,0,0,0,0,1,0,3
770,0,0,1,2,1,0,0
771,2,0,0,1,2,0,4
772,4,0,2,1,0,1,3
773,0,0,0,2,0,0,1
774,0,0,1,1,2,0,2
775,0,0,4,3,1,4,0
776,0,0,4,1,1,1,0
777,0,0,3,2,0,0,2
778,0,0,2,3,0,1,1
779,0,3,1,4,0,4,0
780,0,0,1,3,0,0,0
781,0,0,0,2,1,0,1
782,2,0,0,0,0,3,0
783,0,0,1,1,1,0,2
784,0,4,1,4,1,0,0
785,0,0,0,1,0,0,1
786,0,1,0,0,2,1,0
787,0,4,0,3,1,0,1
788,4,2,2,1,1,0,1
789,0,2,1,1,2,0,0
790,1,0,1,2,1,1,1
791,1,1,1,1,0,1,0
792,0,0,0,1,0,0,2
793,0,0,0,1,1,3,0
794,4,2,0,2,0,1,0
795,0,0,0,1,1,2,0
796,0,0,1,1,1,0,2
797,0,3,1,2,1,1,3
798,0,4,1,2,0,1,0
799,0,0,2,0,1,0,0
800,1,0,0,2,1,1,2
801,0,0,1,0,2,0,0
802,0,0,1,2,1,0,0
803,0,0,3,2,1,0,3
804,0,1,3,2,0,1,0
805,0,3,0,0,0,1,1
806,0,0,0,2,0,1,3
807,0,0,0,0,1,0,0
808,3,0,1,2,0,3,0
809,0,0,1,3,1,0,1
810,1,0,0,0,2,0,0
811,4,0,0,3,1,0,0
812,2,0,4,1,3,1,1
813,3,0,3,1,1,0,1
814,0,4,0,2,2,3,0
815,1,0,1,1,2,0,1
816,0,1,0,1,1,0,4
817,0,0,1,1,2,0,1
818,0,0,1,1,1,0,0
819,3,1,1,0,2,0,1
820,0,3,1,0,1,0,0
821,0,0,1,2,1,1,0
822,0,1,1,2,2,2,0
823,2,1,0,3,2,0,0
824,0,0,0,1,1,0,0
825,0,0,0,1,4,0,0
826,0,1,0,0,2,0,0
827,0,0,0,2,1,0,1
828,0,0,1,1,0,0,0
829,0,4,1,0,1,1,0
830,0,0,0,1,0,1,0
831,0,1,0,0,1,0,0
832,0,0,1,2,0,0,0
833,3,1,0,1,0,1,2
834,4,0,3,1,4,0,1
835,0,0,1,2,2,1,0
836,2,1,1,2,3,1,1
837,0,4,4,2,1,0,1
838,0,1,0,1,4,1,0
839,3,2,4,1,1,1,0
840,0,1,0,2,0,1,3
841,0,1,1,2,2,0,0
842,3,0,0,0,1,4,0
843,2,0,0,1,0,0,0
844,0,0,1,1,1,3,0
845,0,3,0,4,0,0,2
846,0,0,0,2,1,0,0
847,0,0,0,3,0,1,1
848,0,2,0,3,3,0,1
849,0,0,4,0,0,1,0
850,1,2,0,0,2,1,0
851,0,0,1,1,1,0,0
852,0,1,1,1,0,0,1
853,0,0,0,2,0,0,0
854,4,2,0,1,4,0,0
855,0,2,0,2,0,1,0
856,0,0,4,3,1,1,1
857,0,3,0,1,2,0,1
858,3,0,0,1,0,0,0
859,0,1,0,0,0,2,1
860,0,3,4,1,1,0,0
861,3,3,0,0,0,0,0
862,0,1,1,0,3,0,0
863,0,0,1,2,2,0,1
864,0,0,1,1,1,0,0
865,0,4,4,2,3,0,0
866,0,0,0,0,1,0,0
867,0,0,1,1,2,2,0
868,0,0,1,1,2,1,0
