,chlorides,free_sulfur_dioxide,citric_acid,total_sulfur_dioxide,volatile_acidity,sulphates,pH
107,0,0,0,0,1,1,2
108,0,0,0,0,0,0,3
109,0,0,1,1,0,0,2
110,0,0,0,4,0,1,2
111,0,0,0,0,1,0,2
112,4,0,0,1,0,0,1
113,0,0,0,0,2,1,2
114,0,0,1,4,0,0,3
115,0,0,0,0,2,3,2
116,0,0,1,3,1,2,2
117,0,1,1,1,0,0,4
118,3,1,3,1,1,0,0
119,0,2,1,2,0,1,1
120,0,0,1,3,0,2,3
121,0,4,0,1,0,0,2
122,1,3,0,0,0,0,2
123,0,2,0,1,0,1,3
124,0,3,1,0,1,1,0
125,0,0,0,1,0,1,2
126,0,0,1,0,3,1,2
127,2,0,1,1,0,1,1
128,0,1,0,4,0,0,2
129,0,0,1,2,0,1,2
130,0,4,4,4,3,0,1
131,0,4,1,0,0,0,4
132,0,0,0,1,1,0,4
133,0,0,0,1,1,1,2
134,0,3,1,2,1,0,1
135,2,0,0,0,3,0,2
136,0,0,2,3,4,1,3
137,0,0,2,1,0,0,1
138,1,0,1,0,0,0,2
139,0,0,3,1,0,0,1
140,0,0,1,0,3,0,2
141,0,0,1,0,0,0,1
142,0,3,0,1,1,0,3
143,0,0,1,1,0,0,1
144,0,0,4,1,4,0,3
145,0,3,0,2,0,0,0
146,3,0,1,2,0,0,0
147,3,0,0,1,4,0,0
148,0,0,0,1,1,0,2
149,3,1,0,0,2,0,3
150,2,0,1,0,3,0,1
151,0,0,1,1,1,0,2
152,3,0,0,0,1,2,0
153,0,3,0,1,3,1,1
154,3,0,4,2,1,1,2
155,0,0,0,1,0,0,2
156,0,0,0,1,0,1,2
157,0,0,1,3,1,1,0
158,0,0,0,1,3,0,1
159,0,0,0,4,0,1,2
160,0,3,0,2,0,0,2
161,0,0,0,1,0,0,3
162,0,0,0,0,0,0,0
163,0,0,1,0,0,1,1
164,3,0,1,1,0,1,4
165,0,0,1,2,0,0,1
166,0,0,0,1,0,1,2
167,4,0,1,2,0,4,1
168,0,0,0,1,1,0,1
169,0,0,0,0,1,1,2
170,0,4,0,1,3,0,3
171,0,0,4,0,1,1,2
172,0,0,1,0,4,1,2
173,0,0,3,2,0,1,0
174,0,0,3,2,0,0,1
175,4,1,1,1,1,4,2
176,0,2,0,3,0,0,1
177,0,0,1,2,4,0,2
178,0,4,1,1,0,0,1
179,4,0,1,0,0,0,1
180,0,1,3,0,1,4,2
181,0,0,2,0,1,1,1
182,0,0,1,1,0,3,1
183,0,1,0,1,4,4,1
184,0,2,0,2,0,0,1
185,0,1,0,2,0,0,1
186,0,0,0,0,1,1,2
187,1,0,0,1,0,3,2
188,2,0,0,1,0,0,1
189,0,2,1,0,0,1,2
190,0,0,0,0,0,2,1
191,3,0,3,1,0,0,0
192,0,0,1,2,0,1,1
193,0,4,0,1,0,0,1
194,0,0,1,0,0,1,3
195,0,0,0,1,0,4,1
196,0,4,0,0,0,1,1
197,4,3,1,1,3,0,1
198,0,0,0,0,0,0,2
199,0,1,2,2,0,0,0
200,0,0,1,1,0,0,0
201,0,0,2,4,0,1,1
202,0,0,0,0,0,0,1
203,4,0,0,0,0,2,1
204,0,4,0,1,0,0,1
205,0,0,0,1,0,0,1
206,0,0,2,0,0,0,3
207,0,0,0,4,2,1,2
208,0,0,0,1,4,1,2
209,0,4,1,0,0,1,2
210,0,1,0,1,0,1,4
211,0,3,1,1,0,1,1
212,0,0,0,0,1,1,3
213,0,0,2,0,1,1,1
214,0,0,4,1,0,0,1
215,0,1,0,0,0,0,3
216,2,1,1,0,1,1,3
217,0,0,1,0,0,1,4
218,1,0,0,1,0,1,2
219,2,1,1,2,0,0,1
220,0,3,3,2,1,4,3
221,0,0,1,1,0,1,0
222,0,1,1,4,0,2,1
223,0,0,0,0,2,0,1
224,0,0,0,1,0,0,3
225,4,0,2,1,3,0,1
226,0,0,4,4,4,3,3
227,2,0,0,0,1,1,1
228,0,0,0,1,0,0,1
229,0,4,1,1,1,0,2
230,4,0,0,1,0,0,2
231,0,3,3,0,4,1,0
232,0,0,0,0,0,1,2
233,4,0,0,2,2,1,2
234,0,0,0,0,2,0,2
235,0,0,0,0,1,1,2
236,0,0,3,0,2,1,2
237,0,2,3,1,0,1,0
238,0,0,1,1,2,1,2
239,0,3,1,1,2,3,1
240,0,3,0,2,0,0,1
241,0,0,0,0,2,4,1
242,0,3,3,4,3,0,1
243,0,0,3,1,1,1,2
244,0,0,1,1,0,0,1
245,0,1,0,1,0,1,2
246,0,1,1,3,0,1,2
247,2,0,0,2,2,0,2
248,0,0,4,1,0,0,2
249,0,1,1,3,1,0,0
250,2,3,0,1,0,0,4
251,0,0,4,1,0,0,1
252,0,0,0,2,1,2,1
253,0,0,1,1,4,0,0
254,0,0,0,1,1,3,2
255,4,0,0,0,0,3,4
256,0,0,1,4,0,1,3
257,0,1,3,1,0,0,3
258,0,0,0,2,1,0,4
259,0,0,1,0,0,0,1
260,0,0,0,1,2,0,1
261,0,0,0,0,2,0,2
262,0,0,1,1,0,1,1
263,0,0,1,0,0,1,2
264,0,0,3,0,1,0,2
265,3,0,0,2,1,0,0
266,2,0,1,3,0,1,1
267,0,0,3,1,1,3,2
268,0,0,1,0,0,4,2
269,3,3,0,1,0,0,1
270,0,0,0,1,0,0,0
271,2,0,0,0,3,0,3
272,4,4,0,0,0,4,0
273,4,0,2,3,2,3,2
274,2,0,4,1,0,2,1
275,2,1,0,1,0,0,1
276,4,0,1,2,0,1,1
277,0,0,0,2,0,1,1
278,3,0,1,0,0,1,1
279,0,0,1,2,4,0,2
280,0,2,0,0,1,3,1
281,0,0,4,0,0,0,1
282,1,0,1,1,4,0,2
283,0,0,0,0,1,0,3
284,2,2,0,0,0,3,1
285,0,3,0,0,0,1,3
286,0,2,0,2,0,0,1
287,0,0,0,0,1,1,2
288,0,0,3,1,0,0,1
289,0,0,1,0,1,0,1
290,1,0,0,1,0,4,1
291,3,3,0,0,0,0,1
292,1,0,0,0,0,0,2
293,0,0,1,0,0,1,2
294,0,0,0,3,2,0,1
295,1,0,1,1,0,1,2
296,0,2,0,1,2,0,2
297,0,0,3,0,3,0,1
298,3,2,1,0,1,1,0
299,0,0,0,1,0,1,1
300,0,1,0,2,4,0,1
301,4,1,0,2,0,0,1
302,0,0,1,1,1,0,0
303,0,1,0,0,0,0,0
304,0,0,1,0,4,0,3
305,0,0,1,1,1,2,2
306,4,3,0,1,1,2,1
307,0,1,2,2,4,0,3
308,0,4,2,0,2,2,1
309,0,0,4,1,2,2,1
310,0,0,0,1,0,0,2
311,0,0,0,2,0,1,1
312,4,1,4,1,0,1,1
313,3,0,3,1,0,3,3
314,0,0,0,1,1,0,4
315,0,0,1,0,0,0,1
316,1,0,0,0,0,0,3
317,0,3,1,1,1,0,2
318,0,0,1,4,0,1,2
319,1,0,0,1,2,4,1
320,3,0,4,1,1,1,3
321,1,0,0,0,2,1,2
322,0,0,0,0,1,0,2
323,0,1,0,2,0,4,1
324,0,0,0,1,1,0,1
325,0,0,0,1,0,3,2
326,3,0,2,2,0,4,1
327,0,0,0,1,1,1,2
328,0,0,0,4,1,0,1
329,0,0,0,0,0,4,3
330,0,0,0,2,0,4,4
331,0,3,1,1,4,1,1
332,0,0,0,1,0,0,2
333,0,0,1,0,2,1,2
334,0,0,0,0,0,1,2
335,4,0,0,1,2,0,0
336,3,0,0,0,3,0,4
337,0,0,1,1,3,2,1
338,0,0,2,1,0,0,1
339,1,2,1,2,0,1,2
340,0,0,0,0,0,1,0
341,0,0,0,1,0,0,1
342,2,0,0,1,0,0,0
343,0,0,0,4,0,0,0
344,0,0,1,2,0,0,1
345,0,0,1,4,0,1,1
346,0,0,0,1,0,0,2
347,1,0,1,1,0,0,2
348,1,0,0,1,3,0,1
349,0,0,0,0,0,0,1
350,3,0,0,1,0,0,0
351,2,3,1,1,0,0,1
352,0,0,0,0,0,0,4
353,0,4,0,1,0,3,1
354,0,0,0,1,0,1,1
355,0,0,1,4,0,0,4
356,0,1,3,2,0,0,1
357,1,4,1,2,1,4,1
358,0,0,1,0,1,0,1
359,4,0,0,1,0,0,1
360,0,3,0,1,0,0,2
361,2,0,1,3,2,2,2
362,0,2,1,2,0,0,4
363,0,0,1,0,1,1,2
364,2,0,0,1,0,4,2
365,0,0,0,0,0,1,2
366,1,4,0,1,1,2,1
367,0,2,0,2,2,0,1
368,0,0,1,1,2,1,1
369,2,0,0,1,0,0,1
370,0,3,0,1,1,0,1
371,2,2,2,2,2,0,1
372,0,0,0,0,0,0,3
373,0,0,0,1,0,1,2
374,0,0,0,4,0,0,1
375,0,1,2,1,0,1,0
376,0,0,1,1,0,2,4
377,3,0,2,2,0,0,3
378,0,0,0,2,4,0,3
379,0,0,0,1,4,0,3
380,2,4,2,2,1,2,4
381,0,0,2,1,0,0,1
382,0,0,0,3,0,0,0
383,2,0,1,1,0,0,1
384,0,0,1,4,0,0,3
385,0,3,0,1,0,1,2
386,0,0,1,1,3,0,2
387,4,4,1,0,0,3,2
388,0,3,0,1,0,1,0
389,0,0,0,2,0,0,2
390,0,0,3,0,0,4,1
391,0,0,4,3,1,0,1
392,0,4,0,1,3,0,2
393,0,0,0,1,0,0,1
394,0,0,1,0,0,0,4
395,0,0,0,2,0,0,1
396,0,0,0,1,0,1,1
397,0,0,0,2,0,0,1
398,2,0,0,0,4,0,3
399,3,1,1,1,0,1,4
400,1,0,0,0,1,0,2
401,0,0,1,4,1,1,2
402,0,0,0,0,0,3,4
403,0,3,0,0,3,0,1
404,0,0,0,0,0,0,2
405,3,0,0,1,4,0,4
406,0,0,0,1,1,0,1
407,0,0,0,1,0,0,0
408,0,0,0,0,4,1,1
409,0,3,1,2,1,0,2
410,4,0,0,0,2,4,1
411,0,1,3,2,0,0,3
412,0,3,0,1,0,4,1
413,1,0,0,2,0,0,1
414,0,3,3,1,4,0,1
415,0,0,2,2,1,0,0
416,1,0,2,1,0,4,0
417,0,4,0,2,4,0,2
418,1,0,3,2,0,0,2
419,3,0,1,0,0,1,0
420,0,1,1,1,0,0,3
421,2,0,1,1,0,0,1
422,1,0,0,1,1,3,1
423,0,2,0,1,2,0,2
424,0,0,0,0,0,0,0
425,0,0,1,0,2,1,0
426,2,0,0,1,3,0,2
427,0,0,1,1,2,0,0
428,0,0,3,1,0,4,1
429,1,1,0,2,0,1,2
430,0,1,0,0,0,0,2
431,0,0,1,1,4,0,1
432,0,1,3,1,1,0,2
433,0,0,0,1,2,0,1
434,0,0,1,1,0,0,0
435,0,1,3,2,0,0,1
436,2,0,0,1,0,2,1
437,0,0,1,0,0,2,1
438,0,0,1,0,0,0,1
439,0,2,3,2,0,1,3
440,0,0,0,2,0,0,1
441,0,2,3,0,0,1,3
442,3,2,0,0,0,0,2
443,0,0,1,0,2,4,4
444,0,0,0,0,0,0,1
445,0,0,1,1,4,0,2
446,3,0,0,1,0,0,0
447,4,3,1,0,1,1,1
448,0,3,0,0,1,2,1
449,2,0,0,1,0,1,2
450,0,0,4,0,3,0,2
451,0,0,1,1,0,2,2
452,0,0,0,0,2,1,2
453,0,3,4,2,0,0,0
454,0,0,0,1,0,0,0
455,1,0,0,0,3,0,3
456,0,0,0,2,2,0,2
457,0,0,4,2,4,1,2
458,4,0,0,0,1,0,2
459,2,0,2,0,1,1,1
460,0,0,0,1,0,4,2
461,0,0,3,4,0,0,3
462,0,2,2,2,1,3,4
463,0,1,0,2,0,0,1
464,0,0,0,4,0,0,1
465,0,0,0,0,0,0,1
466,0,0,1,0,0,1,2
467,2,0,0,0,4,1,3
468,0,0,0,1,1,0,2
469,1,0,0,0,4,4,1
470,0,0,0,1,0,0,1
471,1,0,4,0,1,0,4
472,0,1,0,3,0,0,0
473,0,0,1,2,0,4,1
474,1,0,1,2,1,0,1
475,1,0,0,1,0,0,2
476,1,2,1,1,0,4,0
477,0,0,0,2,0,0,2
478,0,3,0,1,0,1,1
479,0,1,0,1,0,0,2
480,0,0,0,1,4,1,2
481,0,0,0,0,4,0,2
482,0,2,0,1,0,0,1
483,2,0,1,0,0,4,4
484,3,0,0,0,1,0,1
485,1,0,0,1,4,0,1
486,3,0,2,4,0,0,2
487,0,0,0,0,1,1,1
488,4,0,1,1,0,0,1
489,1,0,0,1,0,0,1
490,3,0,0,4,0,0,1
491,0,1,2,1,0,0,3
492,0,0,0,1,0,2,1
493,0,3,1,1,0,2,3
494,4,0,0,0,2,1,1
495,0,2,0,1,0,0,4
496,0,0,1,1,0,0,2
497,0,0,1,1,0,0,1
498,0,0,0,2,0,0,1
499,0,0,4,1,2,0,1
500,0,0,0,1,0,4,1
501,0,0,0,1,0,0,2
502,0,1,0,1,0,1,2
503,0,0,1,3,0,0,1
504,2,0,1,0,0,0,0
505,3,2,1,0,0,0,0
506,0,0,0,4,0,0,1
507,1,0,0,4,0,0,1
508,0,0,1,0,3,2,2
509,0,1,4,0,0,0,2
510,1,0,1,0,0,3,1
511,0,1,0,2,0,0,1
512,4,2,0,3,1,1,3
513,4,1,1,1,4,1,2
514,3,0,1,4,1,1,3
515,0,0,0,0,0,3,1
516,2,3,1,1,0,3,1
517,0,0,1,1,3,1,3
518,0,0,1,2,0,0,2
519,0,2,0,1,1,1,2
520,0,2,0,1,4,0,1
521,4,4,1,3,0,0,0
522,2,0,3,0,4,1,2
523,0,0,0,4,1,0,4
524,0,0,1,1,1,0,1
525,2,0,0,0,1,2,1
526,4,0,1,4,0,0,1
527,0,0,1,0,0,0,2
528,2,0,0,0,4,0,3
529,0,4,0,3,2,1,3
530,0,1,0,1,0,0,1
531,0,0,3,1,1,0,1
532,0,0,4,1,4,1,2
533,0,0,0,1,2,0,2
534,0,3,1,2,1,1,4
535,0,0,1,1,0,0,1
536,0,0,4,3,1,0,1
537,0,0,1,0,1,1,1
538,0,4,1,1,2,1,1
539,0,0,0,1,2,0,2
540,0,0,1,1,0,2,3
541,4,0,1,0,0,3,2
542,0,3,0,1,0,0,1
543,3,0,1,2,0,0,1
544,0,0,1,0,0,1,2
545,0,0,0,0,1,0,1
546,0,0,1,0,0,1,4
547,4,0,0,4,0,0,2
548,0,0,1,1,0,1,1
549,4,0,1,1,0,0,1
550,0,0,1,1,0,1,2
551,2,0,1,0,0,0,1
552,0,2,1,4,0,0,2
553,0,0,1,1,0,0,2
554,0,1,4,1,0,0,3
555,3,0,0,1,1,0,2
556,0,0,0,0,0,1,2
557,0,0,0,1,1,3,2
558,1,0,1,1,0,0,1
559,0,0,4,1,0,0,0
560,0,1,4,0,1,1,2
561,0,1,0,2,0,3,1
562,0,3,1,2,4,1,1
563,0,0,0,0,0,4,3
564,0,0,1,4,0,2,2
565,0,0,1,1,0,0,2
566,0,3,1,1,0,0,1
567,0,0,1,0,0,2,0
568,0,1,1,1,1,0,4
569,3,0,0,2,0,1,1
570,0,0,0,0,0,3,2
571,1,4,0,0,0,1,0
572,1,0,1,1,0,1,3
573,4,1,0,2,0,0,1
574,0,0,0,0,1,1,3
575,3,0,2,1,1,0,1
576,0,0,0,1,1,0,2
577,1,0,0,0,0,0,2
578,0,3,0,0,2,0,1
579,4,3,0,1,0,1,3
580,0,0,0,2,0,1,2
581,2,1,0,0,1,3,2
582,0,1,0,4,0,0,1
583,0,0,0,1,3,0,1
584,4,3,3,2,0,0,1
585,0,0,0,1,1,0,1
586,3,0,4,0,3,2,1
587,2,0,0,0,0,0,4
588,0,1,3,0,0,3,2
589,0,4,4,1,0,0,1
590,0,0,0,1,0,2,2
591,1,0,2,0,0,0,1
592,3,0,2,0,0,0,2
593,0,0,0,4,2,3,2
594,3,0,0,1,0,0,3
595,4,4,4,3,0,0,2
596,0,0,4,1,0,0,1
597,1,0,0,0,2,2,2
598,0,0,0,1,0,0,1
599,0,1,1,2,0,2,1
600,0,0,0,1,0,0,1
601,0,0,1,0,0,0,2
602,0,0,0,1,0,0,2
603,0,2,0,1,0,1,0
604,0,0,3,0,1,0,2
605,2,0,4,1,0,2,0
606,0,1,1,1,0,0,1
607,0,0,3,2,1,0,1
608,0,1,0,2,0,0,2
609,0,0,3,0,1,1,2
610,0,0,0,0,1,1,3
611,0,0,0,0,1,0,0
612,0,0,1,1,4,3,2
613,0,1,0,1,0,0,1
614,0,4,0,0,4,0,2
615,0,3,2,1,0,0,2
616,0,0,4,0,1,0,3
617,4,0,0,4,0,0,1
618,1,1,1,2,1,0,1
619,0,0,0,1,0,3,1
620,3,0,1,1,1,3,2
621,3,2,1,2,0,1,2
622,0,0,1,1,0,1,1
623,2,1,3,1,4,1,1
624,0,0,1,1,0,1,2
625,0,0,1,2,0,0,1
626,0,0,1,1,0,4,1
627,0,0,4,1,0,1,2
628,0,0,1,0,0,1,0
629,2,1,1,1,0,0,1
630,0,0,0,0,0,0,0
631,0,2,1,2,3,1,3
632,1,0,0,0,1,1,2
633,0,0,0,2,0,0,2
634,4,0,4,1,0,3,1
635,2,0,0,1,1,0,2
636,0,0,1,4,0,1,2
637,0,0,1,0,3,0,2
638,0,0,1,0,1,1,1
639,0,0,0,3,1,1,2
640,0,0,1,1,0,0,1
641,0,0,1,1,3,1,1
642,1,3,1,0,4,3,1
643,0,1,0,2,1,0,2
644,0,0,1,0,0,0,1
645,0,0,1,2,0,0,2
646,0,0,0,1,0,0,1
647,0,0,1,0,3,0,1
648,0,0,0,0,3,4,3
649,0,0,0,1,0,0,2
650,3,0,1,1,1,3,2
651,3,0,0,0,0,1,1
652,2,2,0,0,2,3,2
653,0,0,0,1,2,1,3
654,0,0,0,3,0,0,1
655,0,0,1,0,4,0,2
656,0,0,0,0,2,2,2
657,0,4,0,2,1,0,2
658,0,1,1,2,0,0,1
659,0,0,0,3,0,0,1
660,0,0,0,2,4,0,4
661,0,0,0,0,0,2,2
662,3,0,0,1,0,0,2
663,0,0,3,1,0,0,2
664,3,0,0,2,2,0,1
665,4,0,1,1,0,1,2
666,0,0,0,1,0,0,2
667,0,0,0,1,1,0,1
668,0,0,0,4,0,1,1
669,0,0,0,3,0,3,2
670,0,0,0,1,0,1,2
671,0,2,0,1,3,0,0
672,0,0,0,0,1,0,1
673,3,0,1,4,0,0,1
674,0,0,0,1,0,1,1
675,0,0,1,1,0,0,4
676,1,1,0,2,1,1,1
677,3,0,0,1,3,0,1
678,0,0,2,2,1,1,2
679,0,3,1,1,0,0,1
680,4,0,0,1,1,0,1
681,3,0,0,1,0,0,1
682,0,0,2,0,0,3,2
683,0,0,1,2,1,3,2
684,0,2,0,0,2,1,2
685,4,0,1,0,1,1,1
686,2,0,0,1,0,0,2
687,0,2,3,1,4,0,2
688,2,0,2,1,0,0,0
689,0,4,1,1,0,3,2
690,0,0,0,0,2,1,2
691,0,0,0,1,3,1,4
692,0,0,1,0,0,3,4
693,0,2,0,0,1,1,2
694,0,0,1,0,1,1,1
695,4,1,1,2,0,0,1
696,0,0,0,2,2,1,4
697,0,2,0,3,0,0,1
698,0,1,4,3,2,2,1
699,0,0,1,4,0,0,1
700,0,1,1,1,0,0,1
701,1,0,0,2,0,0,4
702,1,0,0,1,1,0,2
703,0,0,0,1,0,0,2
704,0,0,1,0,1,1,2
705,0,0,1,0,0,0,3
706,1,1,1,1,0,0,2
707,4,0,0,1,0,0,2
708,0,3,0,0,1,1,2
709,0,0,0,3,0,2,3
710,0,0,1,1,0,0,1
711,1,2,1,2,0,1,1
712,0,0,1,3,0,0,1
713,1,0,0,2,0,0,1
714,2,0,0,2,1,0,1
715,3,0,0,1,1,3,2
716,4,0,0,0,1,1,1
717,0,0,0,1,0,0,2
718,1,0,0,1,1,0,1
719,0,4,0,0,1,0,3
720,0,0,1,3,2,1,3
721,0,1,1,1,1,4,1
722,0,0,0,1,0,2,1
723,0,3,0,1,0,0,0
724,3,1,0,2,0,0,2
725,0,0,0,1,0,4,0
726,0,0,0,1,4,0,1
727,3,0,1,3,1,1,2
728,1,0,0,2,1,0,1
729,0,1,2,3,2,3,2
730,2,0,3,0,0,0,2
731,0,0,1,0,3,2,1
732,0,1,4,1,0,0,2
733,4,0,3,2,0,1,1
734,4,0,0,1,0,1,2
735,0,0,0,1,1,4,4
736,0,0,2,1,0,0,1
737,0,0,2,1,4,0,4
738,0,0,1,1,0,0,2
739,0,0,1,0,4,0,1
740,0,1,1,0,0,3,2
741,2,0,1,0,2,1,2
742,0,0,1,0,1,0,2
743,0,2,1,1,0,0,1
744,0,0,3,0,0,0,2
745,4,0,0,1,2,3,1
746,0,0,1,2,0,1,1
747,0,0,0,4,0,0,1
748,0,0,0,3,0,0,2
749,0,0,0,0,1,0,2
750,0,3,1,0,4,0,4
751,0,0,0,3,1,1,2
752,0,0,0,0,4,0,0
753,0,0,1,1,0,0,1
754,1,0,1,2,1,1,0
755,1,1,1,1,0,0,3
756,4,0,0,4,0,0,1
757,2,0,0,0,1,4,2
758,0,0,1,0,1,1,1
759,0,0,0,1,0,0,1
760,0,0,4,1,0,1,3
761,0,0,0,4,0,0,1
762,0,0,0,1,0,0,3
763,0,0,3,0,0,2,2
764,0,3,0,1,0,1,2
765,4,0,4,1,0,4,2
766,2,0,0,1,0,0,1
767,0,3,2,3,0,2,1
768,0,2,0,2,1,0,1
769,0,0,4,1,0,0,1
770,1,0,1,1,0,0,1
771,0,0,0,0,0,1,1
772,1,3,2,0,1,0,3
773,0,1,0,0,1,0,1
774,0,0,3,2,0,0,1
775,1,0,2,3,0,0,1
776,4,0,4,1,0,2,1
777,0,1,0,0,2,0,1
778,0,0,0,1,1,1,1
779,4,1,1,2,0,1,2
780,0,2,1,0,0,0,1
781,0,0,0,3,1,4,3
782,0,0,0,0,4,0,3
783,0,0,1,1,0,0,0
784,0,0,0,3,1,0,1
785,0,0,0,0,1,4,1
786,0,0,0,2,2,1,4
787,2,0,0,4,0,0,1
788,0,0,0,1,3,0,2
789,0,1,1,2,2,0,4
790,0,0,0,1,2,1,1
791,1,4,1,0,2,1,1
792,0,4,1,0,2,0,2
793,0,1,1,1,1,0,0
794,0,0,0,0,0,1,4
795,4,0,4,3,0,1,2
796,0,0,1,1,0,0,1
797,0,0,1,1,0,4,1
798,0,1,1,1,0,2,2
799,0,0,0,2,3,1,0
800,1,0,0,1,2,1,3
801,0,0,2,0,0,0,1
802,0,0,1,3,0,0,2
803,0,0,0,2,3,3,2
804,1,0,1,3,1,1,1
805,0,0,4,1,1,1,2
806,0,0,0,0,0,1,1
807,2,0,0,1,3,2,1
808,2,2,1,0,4,1,2
809,0,0,1,1,1,0,3
810,4,0,0,1,0,0,0
811,0,0,0,1,0,0,1
812,1,3,0,3,3,1,3
813,0,0,0,3,1,0,2
814,0,1,3,1,3,4,4
815,0,1,1,2,0,0,1
816,1,1,0,1,0,4,2
817,2,1,0,0,1,1,1
818,0,0,4,1,0,0,2
819,0,1,1,2,1,0,1
820,0,0,1,1,0,0,1
821,0,0,1,4,0,1,1
822,1,0,1,0,0,1,2
823,0,1,0,2,0,0,2
824,0,0,0,1,1,0,2
825,0,0,0,1,0,0,4
826,1,0,3,2,0,0,1
827,0,0,0,1,1,0,1
828,0,0,1,3,0,0,0
829,0,0,3,1,0,1,3
830,0,4,0,4,0,1,3
831,0,4,0,1,4,4,1
832,0,1,1,0,0,0,2
833,0,0,0,0,2,1,2
834,0,2,0,1,0,0,1
835,2,1,0,1,0,1,3
836,4,0,1,4,0,1,3
837,3,0,0,1,1,0,0
838,0,0,1,0,0,4,4
839,1,0,0,1,2,4,1
840,0,0,1,0,1,1,2
841,1,3,1,1,0,0,1
842,0,1,0,1,3,1,3
843,0,0,0,0,0,4,0
844,0,0,1,3,0,1,2
845,0,0,4,0,3,0,2
846,0,0,3,1,4,2,1
847,0,0,4,1,4,1,2
848,0,3,0,1,1,3,1
849,0,0,4,0,2,1,2
850,1,0,0,1,0,0,1
851,4,0,0,1,0,3,3
852,0,0,2,0,1,0,1
853,2,0,3,0,2,0,2
854,4,0,0,0,0,0,1
855,3,0,0,0,0,1,2
856,0,0,4,1,1,1,3
857,0,0,0,1,1,0,2
858,0,0,2,0,0,0,1
859,0,0,0,2,1,0,2
860,4,0,2,1,1,2,3
861,0,3,4,1,0,3,0
862,0,4,0,3,0,0,1
863,3,0,0,1,0,0,1
864,0,0,4,1,0,0,2
865,1,0,0,0,0,2,1
866,0,0,0,1,1,0,1
867,0,2,0,1,0,1,2
