,volatile_acidity,chlorides,free_sulfur_dioxide,residual_sugar,total_sulfur_dioxide,sulphates,citric_acid
106,1,0,4,0,1,1,1
107,1,4,0,0,0,1,3
108,2,1,0,0,0,0,0
109,0,2,0,0,0,0,1
110,0,0,0,0,4,1,4
111,1,0,0,0,4,0,0
112,3,4,0,2,2,0,0
113,1,1,0,0,4,1,3
114,2,0,0,0,4,4,1
115,2,0,0,0,0,1,0
116,0,4,3,3,0,1,2
117,0,0,1,4,2,0,1
118,0,0,0,0,1,3,0
119,0,0,0,1,1,0,1
120,4,0,0,0,1,0,4
121,0,4,0,0,1,0,0
122,1,0,0,3,0,0,0
123,0,2,0,0,3,1,0
124,3,3,0,0,0,1,1
125,2,0,0,0,0,1,0
126,1,0,0,0,0,1,1
127,0,2,0,0,1,1,1
128,4,0,0,0,1,0,0
129,0,0,0,1,2,1,1
130,0,1,3,0,1,0,1
131,0,0,0,3,1,0,1
132,1,1,3,0,1,0,0
133,1,4,0,0,1,1,0
134,3,0,1,0,2,0,1
135,0,0,4,0,0,2,0
136,0,0,2,0,2,0,1
137,3,0,0,0,1,3,1
138,0,1,4,0,0,0,1
139,0,4,0,1,0,0,1
140,0,0,2,0,3,0,1
141,0,2,1,4,2,2,4
142,0,0,0,0,1,0,0
143,1,0,0,0,1,0,0
144,0,0,4,0,1,0,0
145,3,0,1,1,2,1,4
146,0,0,0,0,2,0,1
147,0,0,0,2,1,0,0
148,1,0,0,0,1,1,0
149,2,0,0,0,0,1,0
150,1,0,0,3,1,0,1
151,1,4,0,0,1,3,3
152,2,4,1,0,0,0,0
153,0,0,0,0,2,1,2
154,1,4,4,0,2,1,0
155,0,1,0,0,4,0,1
156,3,3,0,0,1,1,0
157,0,0,0,0,2,1,0
158,0,1,0,0,0,0,1
159,1,0,0,4,0,1,1
160,0,0,3,0,3,0,0
161,0,0,0,0,1,4,3
162,4,0,0,0,1,0,0
163,0,0,0,1,0,1,1
164,0,0,0,0,1,0,1
165,0,0,2,1,2,0,1
166,0,0,1,0,1,1,0
167,0,0,1,0,2,0,4
168,0,0,2,0,1,0,0
169,4,0,0,0,0,3,0
170,0,0,2,0,4,0,2
171,1,0,0,0,0,1,0
172,0,0,0,0,0,1,1
173,0,4,3,3,2,1,3
174,0,4,0,0,2,0,0
175,1,0,0,2,1,1,2
176,0,2,0,0,1,0,2
177,0,0,2,0,1,0,1
178,0,4,0,1,1,0,0
179,0,0,0,0,0,1,1
180,1,0,4,3,0,1,1
181,0,0,0,0,0,1,2
182,0,0,4,0,1,3,0
183,0,0,1,0,1,0,0
184,0,0,0,0,2,0,0
185,0,0,1,0,1,1,1
186,1,0,0,4,2,1,0
187,4,0,0,0,1,1,4
188,3,4,0,0,1,0,0
189,0,0,0,0,0,1,0
190,4,0,0,1,0,4,0
191,3,0,0,0,1,0,1
192,4,0,3,2,0,1,1
193,0,0,1,3,0,0,0
194,0,3,0,0,0,1,1
195,0,0,0,1,1,3,0
196,0,0,1,1,0,4,0
197,0,0,3,0,0,0,1
198,0,0,0,0,0,0,4
199,0,3,1,0,2,0,2
200,3,0,0,0,0,0,1
201,1,0,0,3,1,1,0
202,0,0,4,3,1,2,0
203,1,0,0,0,0,0,0
204,4,3,2,1,1,0,0
205,0,1,0,4,1,0,0
206,4,0,0,0,0,3,2
207,2,0,0,4,0,1,2
208,0,0,0,0,4,1,0
209,1,2,0,0,3,1,1
210,0,2,2,0,1,1,0
211,2,3,0,0,1,0,1
212,1,0,0,0,0,1,0
213,1,0,2,4,1,1,1
214,0,0,0,0,2,2,1
215,2,0,1,0,2,0,2
216,1,0,0,0,0,1,1
217,0,0,0,1,0,1,1
218,0,0,3,0,1,1,0
219,0,0,0,0,1,0,2
220,1,0,0,3,3,0,0
221,1,0,0,0,3,2,1
222,0,0,0,0,3,0,3
223,2,2,0,0,0,1,3
224,2,0,0,0,0,0,0
225,1,1,0,3,1,0,3
226,0,4,0,0,4,2,1
227,1,0,0,0,3,4,1
228,0,0,0,0,0,3,4
229,3,0,0,0,2,0,0
230,0,0,0,2,1,0,4
231,1,0,0,0,0,1,1
232,0,1,0,1,0,1,0
233,1,0,0,0,0,4,0
234,2,0,0,0,0,0,0
235,3,0,0,0,0,1,0
236,0,4,0,1,0,4,0
237,0,0,2,0,1,0,0
238,0,0,0,4,1,1,1
239,4,0,0,0,1,0,1
240,3,0,4,0,2,0,1
241,2,0,0,0,4,3,0
242,1,0,1,0,2,1,0
243,0,0,0,4,1,1,1
244,0,0,4,4,1,0,1
245,4,0,0,0,1,0,0
246,0,0,0,0,0,1,1
247,4,0,0,0,1,0,0
248,0,0,0,0,1,0,1
249,4,0,4,0,1,0,2
250,0,0,2,0,1,0,0
251,0,4,0,0,1,0,0
252,1,0,4,0,0,0,0
253,4,0,0,0,1,0,1
254,0,0,0,0,1,0,0
255,0,4,0,0,0,0,2
256,3,0,0,0,3,1,1
257,0,0,0,1,2,0,1
258,1,1,0,0,4,0,1
259,0,0,0,1,4,0,1
260,4,0,1,0,1,4,0
261,2,2,0,0,0,0,4
262,1,0,0,2,4,1,4
263,0,0,2,2,0,1,1
264,1,0,0,0,2,4,0
265,1,0,0,3,0,0,0
266,0,2,0,0,1,1,1
267,1,0,0,0,1,1,0
268,0,0,1,0,0,2,1
269,0,0,1,3,1,1,2
270,0,4,0,1,1,0,4
271,1,3,0,3,2,0,4
272,0,4,0,0,4,0,4
273,2,0,0,0,3,0,0
274,0,2,0,4,1,0,0
275,1,0,0,4,1,0,0
276,2,4,0,0,1,0,3
277,0,0,1,0,1,3,0
278,0,0,0,0,0,1,1
279,0,1,0,0,2,0,4
280,1,0,0,3,0,0,0
281,0,0,0,0,1,0,0
282,1,1,0,0,1,0,1
283,1,1,0,0,3,2,0
284,0,0,0,0,0,1,2
285,2,0,0,0,0,2,0
286,0,0,2,0,2,0,0
287,1,0,0,3,1,4,1
288,4,0,0,0,1,0,0
289,0,0,0,2,1,4,2
290,0,0,3,3,1,2,1
291,0,3,0,0,4,0,0
292,0,0,0,0,4,0,3
293,0,0,0,0,0,0,0
294,2,3,3,0,1,0,4
295,0,4,3,1,0,0,3
296,0,0,1,0,4,2,0
297,0,0,0,2,3,0,0
298,1,2,0,0,0,0,1
299,0,0,3,0,1,3,0
300,0,2,1,1,2,0,0
301,2,4,1,0,2,2,0
302,1,1,0,0,2,0,0
303,0,0,4,0,2,0,0
304,4,0,0,0,0,0,0
305,1,0,0,0,1,2,1
306,1,2,1,0,1,0,0
307,0,0,0,0,2,0,1
308,0,0,0,0,1,0,0
309,0,4,1,0,1,1,0
310,2,0,0,4,1,0,0
311,0,4,0,0,1,1,0
312,0,0,0,0,1,1,1
313,1,0,0,0,1,0,3
314,0,4,3,0,0,3,0
315,3,2,0,0,0,1,1
316,0,0,2,0,0,4,1
317,0,2,1,4,4,0,1
318,0,2,0,0,0,1,1
319,0,0,0,0,1,1,0
320,0,0,0,0,1,1,1
321,4,4,0,2,0,1,0
322,1,0,0,0,0,0,4
323,0,4,2,0,4,0,4
324,1,0,0,0,1,0,3
325,2,0,0,0,0,0,0
326,0,0,0,4,2,0,0
327,1,0,0,0,1,1,0
328,1,0,0,3,4,0,0
329,0,3,0,3,1,2,0
330,0,0,2,0,1,0,0
331,0,0,0,2,1,1,1
332,2,0,0,0,1,0,4
333,2,2,0,0,0,1,1
334,0,0,0,3,4,3,4
335,0,4,0,4,1,0,4
336,1,4,0,0,1,0,0
337,0,0,0,0,1,2,0
338,1,0,0,4,4,0,4
339,0,0,0,0,2,0,1
340,1,3,0,0,0,1,0
341,0,0,4,0,3,0,0
342,4,4,0,2,1,2,0
343,0,0,0,0,3,0,0
344,0,0,4,0,2,0,1
345,0,2,0,0,2,0,1
346,2,3,4,1,1,0,2
347,4,0,2,4,1,1,2
348,0,0,0,2,1,0,0
349,2,0,0,0,0,0,0
350,0,0,0,0,0,0,2
351,0,0,0,0,1,2,1
352,1,0,0,2,4,1,0
353,2,4,0,2,3,0,2
354,0,0,4,2,1,1,1
355,0,0,0,0,3,2,1
356,0,0,1,0,2,2,1
357,0,1,0,0,2,1,0
358,0,0,0,0,0,1,1
359,0,1,0,0,1,0,0
360,0,0,4,4,2,0,0
361,2,0,3,0,0,3,0
362,4,0,1,0,2,0,2
363,1,4,2,0,0,2,1
364,0,0,0,0,1,0,0
365,0,0,4,0,3,1,0
366,1,4,0,0,1,1,0
367,2,0,1,4,2,0,0
368,0,0,0,0,1,1,3
369,0,3,0,0,1,0,0
370,1,0,0,1,1,4,0
371,2,0,0,2,1,0,0
372,0,0,0,0,0,0,0
373,0,0,0,0,1,1,0
374,4,1,2,4,1,1,0
375,0,2,3,0,4,1,4
376,0,0,1,0,1,0,1
377,0,0,0,0,4,0,1
378,1,0,0,3,0,0,1
379,0,0,3,0,1,0,2
380,1,0,0,0,1,2,4
381,0,0,0,0,1,0,1
382,0,0,0,0,1,0,0
383,4,2,0,1,2,1,3
384,3,0,0,3,1,0,0
385,0,0,0,0,1,1,0
386,0,0,0,0,1,3,1
387,0,0,0,0,2,0,1
388,0,0,2,0,1,0,0
389,0,1,0,0,3,0,0
390,0,0,0,0,0,3,0
391,4,0,0,0,1,0,1
392,4,1,0,0,0,0,2
393,1,0,0,0,1,1,4
394,2,0,0,3,0,0,1
395,0,0,1,0,1,0,4
396,0,0,0,1,1,1,0
397,2,0,0,0,1,0,0
398,0,0,0,4,0,4,0
399,0,3,4,0,1,1,1
400,1,0,0,4,0,0,0
401,1,0,0,0,0,1,1
402,0,0,0,0,0,0,4
403,4,0,0,0,0,0,0
404,2,0,0,0,0,0,4
405,1,4,0,0,1,0,0
406,1,3,0,0,3,0,0
407,0,0,2,3,4,2,0
408,1,2,0,0,0,0,1
409,1,0,0,1,2,0,1
410,1,0,2,0,1,0,0
411,0,0,0,0,1,0,1
412,0,0,1,1,1,0,1
413,3,0,0,3,1,0,0
414,1,0,3,4,1,0,0
415,2,2,0,0,0,3,0
416,0,0,0,0,1,0,2
417,0,0,1,0,2,0,3
418,2,0,0,0,2,1,0
419,0,0,0,0,3,1,1
420,4,0,4,0,1,0,1
421,0,0,0,0,1,0,4
422,1,1,4,0,1,0,0
423,0,0,0,0,1,0,0
424,0,0,0,3,2,3,0
425,0,4,0,0,0,1,1
426,1,0,1,0,1,0,3
427,0,1,4,0,0,0,1
428,4,0,0,0,1,0,3
429,0,4,1,0,0,1,0
430,0,0,4,1,0,3,3
431,0,0,0,0,3,0,1
432,1,0,1,0,1,2,0
433,0,0,4,0,1,2,0
434,4,0,0,0,0,0,2
435,0,0,0,0,2,3,0
436,0,2,0,0,0,1,0
437,0,3,0,0,0,1,1
438,3,0,0,2,0,0,2
439,0,0,0,0,2,1,0
440,0,0,0,0,2,4,0
441,0,0,0,0,2,1,1
442,0,3,0,0,0,3,3
443,1,0,4,0,0,0,1
444,2,0,3,0,0,0,0
445,0,3,2,1,4,3,1
446,2,3,0,0,1,0,0
447,1,0,0,0,0,1,0
448,1,0,0,0,0,0,0
449,3,0,3,2,1,1,3
450,1,4,0,2,0,0,0
451,0,0,4,2,1,1,1
452,1,0,1,0,0,0,4
453,0,4,0,1,1,0,0
454,0,0,0,0,0,0,0
455,0,1,0,0,0,1,0
456,2,4,0,0,0,0,0
457,2,0,0,0,0,1,0
458,1,2,4,0,3,0,0
459,1,1,0,2,0,1,3
460,0,3,0,0,1,0,0
461,0,0,2,3,1,0,1
462,0,0,3,0,1,0,4
463,2,0,0,1,2,2,1
464,2,3,0,0,1,0,2
465,3,0,0,0,3,4,0
466,2,0,1,0,0,1,1
467,1,0,0,0,0,1,4
468,1,2,4,1,1,0,0
469,1,1,0,2,0,1,0
470,0,0,0,0,1,0,0
471,2,1,0,0,4,0,1
472,0,0,1,0,1,0,0
473,0,0,0,0,2,3,4
474,0,0,1,2,2,0,1
475,0,0,0,0,1,0,0
476,0,0,0,0,1,0,1
477,0,0,0,1,4,4,1
478,0,0,0,0,1,0,4
479,0,0,1,0,0,0,0
480,0,1,2,0,1,1,0
481,1,3,0,0,0,2,0
482,0,0,0,0,1,2,0
483,4,0,0,0,1,4,1
484,0,0,0,0,1,0,0
485,2,0,0,0,0,0,0
486,0,4,0,0,2,0,2
487,3,4,2,0,0,1,0
488,0,0,0,0,0,3,1
489,0,1,0,0,0,1,0
490,1,4,3,4,3,0,0
491,0,0,1,2,1,0,1
492,0,0,0,0,1,0,3
493,0,0,3,0,1,0,1
494,2,2,0,0,0,0,0
495,0,0,0,2,1,0,0
496,0,0,2,0,3,0,1
497,1,1,0,0,4,0,2
498,0,0,0,0,2,3,0
499,0,0,0,0,1,0,0
500,1,2,0,4,0,0,1
501,0,0,0,4,1,2,0
502,1,0,2,0,0,1,0
503,0,1,0,0,4,0,0
504,0,0,0,0,0,0,1
505,0,2,2,0,0,0,0
506,0,0,0,0,1,3,4
507,2,0,0,1,1,0,0
508,3,0,0,0,0,1,1
509,0,0,2,0,1,0,1
510,0,0,0,0,0,2,1
511,0,0,1,2,3,0,3
512,1,2,0,0,0,1,0
513,0,1,3,0,1,1,0
514,1,0,1,2,0,1,0
515,0,4,2,0,2,0,4
516,0,0,0,3,0,3,1
517,0,0,0,0,4,2,1
518,0,0,0,1,3,0,1
519,0,0,0,0,1,2,0
520,2,0,0,0,1,0,0
521,0,0,2,0,1,0,3
522,1,0,0,0,0,2,2
523,3,0,0,0,0,0,0
524,1,3,0,0,1,1,0
525,1,1,0,0,0,2,0
526,0,0,0,2,1,0,1
527,0,0,0,0,0,3,1
528,4,0,0,2,0,0,0
529,2,0,0,0,0,4,0
530,0,4,1,4,1,0,0
531,1,0,0,0,1,0,3
532,0,0,0,0,1,0,0
533,2,0,0,0,2,3,0
534,1,2,1,0,3,1,1
535,0,0,4,0,1,0,1
536,1,3,0,0,1,0,0
537,1,0,0,0,0,1,4
538,0,0,0,0,1,1,1
539,0,4,0,0,1,3,2
540,3,0,3,0,1,0,1
541,0,1,0,0,4,2,0
542,0,2,1,0,1,3,0
543,0,0,2,0,2,0,0
544,0,0,0,0,0,1,1
545,1,0,1,0,0,0,0
546,0,0,4,0,0,1,1
547,0,0,0,0,2,0,2
548,0,0,2,3,1,1,3
549,0,0,0,4,1,0,1
550,2,0,0,0,0,1,1
551,3,0,1,4,1,0,1
552,3,0,0,1,1,0,1
553,0,0,3,0,1,0,1
554,0,0,2,0,3,0,1
555,2,0,0,0,1,0,4
556,0,0,0,0,2,1,0
557,1,0,3,0,1,1,0
558,0,0,0,0,3,4,1
559,0,0,0,0,1,0,3
560,1,0,0,0,0,2,0
561,0,0,1,0,2,0,0
562,0,0,0,0,2,1,1
563,0,0,3,0,0,0,1
564,0,0,0,0,1,4,2
565,0,0,4,0,1,0,1
566,1,0,1,4,1,0,1
567,0,2,4,1,0,0,1
568,2,0,0,0,1,0,2
569,0,0,2,1,2,3,0
570,0,0,0,2,2,1,0
571,0,0,0,0,0,1,0
572,2,3,0,0,1,1,1
573,3,0,3,0,2,3,0
574,1,0,0,1,3,1,0
575,1,4,0,0,3,3,2
576,2,3,0,0,2,0,0
577,0,1,0,0,1,0,0
578,0,0,0,0,0,0,2
579,0,0,0,0,4,0,0
580,0,0,0,1,1,0,0
581,2,0,0,0,0,0,0
582,1,0,1,0,1,0,0
583,0,0,0,1,0,0,0
584,0,4,1,0,2,0,3
585,0,3,1,0,1,0,0
586,3,0,0,0,0,1,1
587,0,0,4,4,2,0,0
588,0,4,1,0,0,0,0
589,1,3,0,0,1,3,3
590,2,0,0,1,3,0,0
591,0,4,0,0,2,4,2
592,1,0,0,4,1,1,4
593,1,2,1,0,2,0,0
594,1,0,0,2,1,4,2
595,3,0,0,1,4,1,0
596,0,0,0,1,1,0,1
597,2,0,2,0,0,1,0
598,3,0,0,0,1,4,0
599,0,0,0,4,2,0,1
600,0,0,3,0,2,0,0
601,0,0,1,0,0,0,1
602,0,0,4,0,1,0,0
603,3,0,0,0,0,1,1
604,1,1,0,3,3,0,0
605,0,0,1,0,3,4,1
606,1,0,2,0,2,0,1
607,2,0,0,0,0,1,1
608,0,2,4,2,2,0,0
609,1,0,0,0,0,1,2
610,4,0,4,0,0,1,0
611,4,0,0,0,2,2,4
612,2,3,3,0,1,0,1
613,0,0,2,1,1,0,0
614,1,0,0,0,0,0,0
615,0,1,0,0,1,0,4
616,1,0,0,0,4,0,0
617,0,0,3,2,3,0,0
618,0,2,3,0,1,0,1
619,0,0,0,1,1,3,0
620,1,0,2,0,0,3,1
621,0,3,2,0,2,1,0
622,0,0,0,4,3,3,0
623,4,0,1,0,1,2,0
624,3,0,0,0,1,0,1
625,0,0,0,0,4,0,1
626,0,1,0,1,3,0,1
627,0,3,3,0,1,1,0
628,0,0,0,0,1,1,3
629,0,0,0,0,1,0,1
630,4,3,0,1,0,3,0
631,3,0,0,0,2,1,0
632,4,0,0,0,0,1,0
633,0,4,4,0,1,0,0
634,4,0,0,3,1,0,0
635,0,0,0,1,1,0,2
636,0,0,0,0,3,1,1
637,1,0,0,0,0,0,1
638,3,2,0,0,0,1,1
639,1,1,0,0,0,1,0
640,0,4,0,0,1,0,1
641,3,0,0,0,0,1,1
642,0,0,0,0,0,0,0
643,4,0,0,0,2,0,0
644,0,0,1,0,2,2,1
645,0,0,0,1,2,0,3
646,0,0,3,0,4,0,0
647,0,0,0,0,0,0,1
648,3,0,0,0,0,2,0
649,0,1,2,4,3,0,1
650,0,0,3,0,1,3,1
651,4,0,0,1,2,1,0
652,1,0,0,2,0,1,0
653,2,0,0,0,3,1,0
654,2,2,0,3,1,0,0
655,0,3,3,4,1,2,1
656,4,0,0,0,2,2,0
657,1,0,1,0,0,0,0
658,4,4,0,1,2,1,2
659,0,0,0,0,1,0,0
660,3,0,2,0,1,0,0
661,0,0,0,0,1,1,0
662,0,0,0,0,2,0,2
663,0,0,2,0,1,0,0
664,1,1,0,1,2,0,2
665,3,2,0,3,3,2,0
666,0,0,0,0,1,0,0
667,1,0,0,0,1,0,2
668,0,4,0,0,1,0,0
669,0,0,0,0,0,0,0
670,4,0,0,0,1,1,0
671,0,0,0,0,1,0,0
672,1,0,0,1,0,0,0
673,4,0,2,0,0,0,0
674,0,2,0,1,1,3,0
675,0,0,0,3,1,0,0
676,0,0,0,0,1,1,0
677,0,0,0,0,1,2,3
678,1,0,1,0,3,1,1
679,0,0,0,0,1,0,1
680,3,0,0,0,0,0,3
681,0,0,0,0,3,0,3
682,0,0,0,0,0,1,2
683,1,0,1,0,2,0,3
684,2,3,0,0,0,1,4
685,1,0,0,1,0,1,4
686,0,0,0,2,1,4,0
687,0,1,0,0,1,0,0
688,0,0,0,0,1,0,2
689,0,0,0,0,1,0,1
690,3,4,0,0,0,1,0
691,1,0,0,0,2,0,0
692,0,0,0,4,2,3,1
693,4,0,4,0,4,2,0
694,1,0,0,0,0,1,1
695,4,0,1,1,1,0,1
696,1,0,4,3,3,2,0
697,0,0,1,0,2,4,0
698,0,0,4,2,0,4,0
699,0,3,0,0,1,0,1
700,0,1,4,2,1,0,1
701,0,2,0,0,2,0,4
702,1,1,4,0,1,0,3
703,2,2,0,0,1,2,0
704,1,0,0,1,0,0,0
705,0,0,0,0,0,1,4
706,0,3,0,0,1,0,2
707,0,0,0,0,3,1,0
708,2,1,0,4,2,4,0
709,0,0,0,0,1,0,0
710,0,0,0,0,1,0,3
711,0,4,2,0,2,1,0
712,0,0,0,3,1,0,3
713,0,0,3,2,1,1,0
714,3,0,0,0,0,0,0
715,1,3,0,1,1,0,0
716,1,1,0,0,0,1,0
717,3,0,0,0,1,0,0
718,3,0,0,3,3,4,2
719,1,0,2,0,0,1,0
720,0,3,2,0,0,3,2
721,0,0,3,0,1,0,1
722,0,3,1,1,0,1,0
723,1,1,4,0,1,0,4
724,0,0,0,1,1,0,0
725,0,0,0,0,1,0,4
726,1,0,0,3,1,2,2
727,0,0,0,0,0,4,1
728,3,0,0,1,1,0,0
729,0,0,0,0,1,2,0
730,0,3,0,0,4,0,0
731,2,0,0,0,3,3,1
732,3,0,0,4,1,2,1
733,2,0,0,0,0,2,0
734,0,0,0,0,0,1,0
735,1,3,0,0,1,0,0
736,1,0,0,0,1,0,2
737,3,0,0,3,1,3,1
738,0,0,0,0,1,1,0
739,4,0,0,0,4,0,1
740,0,0,0,2,1,1,1
741,1,0,0,0,2,1,1
742,1,0,0,0,3,1,1
743,0,0,0,1,1,0,1
744,0,0,0,4,0,0,0
745,3,0,0,0,1,4,3
746,0,3,0,0,0,1,1
747,0,0,0,0,1,4,0
748,0,0,0,0,2,0,1
749,0,0,0,0,4,0,4
750,1,0,1,2,2,4,1
751,1,0,0,0,0,1,0
752,0,0,4,0,0,4,0
753,0,0,1,0,1,3,1
754,1,2,0,0,2,3,1
755,0,0,1,0,1,3,1
756,0,0,2,0,2,3,4
757,2,0,0,0,0,0,0
758,2,0,0,0,0,1,0
759,0,0,0,1,1,0,0
760,0,0,0,1,1,0,2
761,0,3,0,2,2,4,0
762,0,0,0,0,2,0,0
763,1,0,4,0,0,0,0
764,0,0,1,3,1,0,0
765,0,0,0,1,0,1,1
766,3,1,0,0,1,0,0
767,0,0,0,4,1,0,2
768,4,0,3,2,2,0,0
769,2,0,0,0,1,0,2
770,0,0,0,0,1,0,1
771,0,0,0,0,0,4,0
772,1,1,0,0,0,0,4
773,1,0,0,0,0,2,0
774,3,1,0,0,2,0,1
775,0,0,0,3,1,0,0
776,0,0,1,1,1,2,4
777,2,0,0,0,0,0,0
778,1,0,0,0,1,2,0
779,0,0,1,1,2,1,1
780,0,0,4,0,0,0,0
781,1,0,0,0,4,0,0
782,0,0,0,0,1,4,2
783,0,0,0,0,1,0,4
784,1,0,0,0,0,4,1
785,3,0,0,2,0,0,3
786,0,0,3,1,2,1,0
787,0,3,4,0,1,2,0
788,1,2,0,0,3,0,0
789,0,0,0,2,2,4,1
790,0,0,0,0,0,2,0
791,2,1,1,1,0,1,1
792,2,0,0,0,4,0,0
793,2,3,4,3,4,0,0
794,0,0,0,0,0,0,0
795,0,0,0,0,4,0,0
796,0,1,0,0,1,0,2
797,4,0,1,0,1,0,1
798,4,2,3,0,4,1,2
799,2,0,0,0,1,0,0
800,2,1,0,0,0,0,0
801,1,0,1,3,2,0,1
802,2,3,0,0,1,0,1
803,0,1,4,1,1,0,1
804,1,4,0,0,0,1,0
805,1,4,2,0,0,1,0
806,0,1,0,0,0,2,0
807,2,0,3,0,1,0,0
808,0,2,0,0,2,0,1
809,1,0,0,3,1,0,1
810,0,2,0,2,0,0,2
811,0,0,1,0,1,0,2
812,1,0,0,0,1,0,0
813,1,2,0,0,1,0,0
814,0,0,0,0,0,0,0
815,0,0,1,0,2,1,1
816,0,1,0,0,1,3,0
817,1,3,0,0,0,1,0
818,4,2,4,0,1,0,4
819,1,0,1,0,2,0,2
820,2,0,0,1,1,0,1
821,3,0,1,0,1,1,1
822,0,0,0,2,2,1,1
823,0,0,1,4,2,0,4
824,0,0,0,3,1,0,0
825,0,0,0,0,1,0,1
826,3,0,0,1,2,1,3
827,0,0,0,3,1,3,0
828,2,0,0,0,1,0,1
829,1,0,0,0,3,0,1
830,0,0,0,1,0,1,0
831,1,0,0,0,1,0,0
832,0,0,0,1,2,2,1
833,3,0,4,0,0,1,0
834,0,0,0,0,1,0,2
835,0,3,1,0,1,2,0
836,1,0,0,2,0,0,1
837,1,3,0,0,1,0,2
838,0,0,0,0,0,1,1
839,0,0,0,0,1,1,1
840,4,0,0,4,3,1,0
841,0,0,4,3,1,0,1
842,2,0,1,0,4,1,0
843,0,3,0,0,0,1,0
844,0,4,0,0,1,1,1
845,2,0,0,3,2,0,0
846,4,0,0,0,2,0,0
847,1,0,2,0,0,1,0
848,0,2,0,0,2,0,0
849,0,0,4,0,0,1,0
850,0,4,0,0,1,0,0
851,2,1,3,0,1,1,1
852,1,4,4,0,1,0,1
853,0,0,2,1,0,0,0
854,0,0,0,0,2,1,0
855,0,0,0,0,0,0,0
856,0,1,0,4,1,1,1
857,1,0,0,0,1,4,0
858,0,0,0,3,0,0,0
859,1,0,0,0,0,0,0
860,1,1,0,3,3,0,0
861,0,0,4,1,1,3,2
862,3,0,0,1,1,0,1
863,0,1,2,1,4,0,1
864,0,0,0,0,1,0,1
865,0,0,0,0,2,0,0
866,3,0,0,0,1,0,0
867,0,0,0,0,1,3,0
